W: 60, PAA: 7, A: 7, S: noreduction
10,0.037733333333333285,0.1565333333333333,36626,657
20,0.00653333333333328,0.12739999999999996,37906,1592
30,0.00986666666666669,0.10746666666666671,39757,2654
40,0.005666666666666709,0.06993333333333329,48177,3321
50,0.0028000000000000247,0.04966666666666664,53393,4939
100,0.0018666666666666831,0.01773333333333338,65270,9076
150,0.0023333333333332984,0.022866666666666702,59739,12499
200,0.0010000000000000009,0.00546666666666662,96083,19538
250,0.0016666666666667052,0.006000000000000005,83179,20867
300,7.333333333333636E-4,0.007000000000000006,84741,25965
350,9.333333333333416E-4,0.008066666666666666,99562,30658
400,0.0010000000000000009,0.0048000000000000265,86786,39128
450,0.0011999999999999789,0.006000000000000005,115680,40589
500,8.666666666666822E-4,0.005266666666666642,76557,48272
500,0.0012666666666666382,0.006266666666666643,99897,52537
600,0.0019333333333333425,0.005933333333333346,121807,55451
700,0.002066666666666661,0.0046000000000000485,126026,66463
800,0.0018000000000000238,0.002266666666666639,124509,77290
900,0.0020000000000000018,0.003466666666666618,132021,86127
1000,0.0020000000000000018,0.0028000000000000247,123403,106176
10,0.05479999999999996,0.1535333333333333,40119,952
20,0.014399999999999968,0.09806666666666664,48519,1825
30,0.0029333333333333433,0.07599999999999996,52320,2680
40,0.00873333333333337,0.08013333333333328,49617,4410
50,0.0021333333333333204,0.02833333333333332,49315,5137
100,8.000000000000229E-4,0.015533333333333288,71912,9741
150,0.0021333333333333204,0.022399999999999975,65760,12912
200,0.0010666666666666602,0.011133333333333328,74733,18253
250,0.0011333333333333195,0.006000000000000005,91627,23630
300,9.333333333333416E-4,0.00539999999999996,112020,31429
350,8.000000000000229E-4,0.007000000000000006,89875,33894
400,0.0010666666666666602,0.00653333333333328,116315,39908
450,0.0016666666666667052,0.005866666666666687,104829,45062
10,0.02406666666666668,0.10453333333333337,39278,1123
20,0.003466666666666618,0.06920000000000004,41201,1933
30,0.006133333333333324,0.05446666666666666,45184,3254
40,0.003866666666666685,0.043266666666666675,46586,4031
50,0.0021333333333333204,0.055266666666666686,52114,4676
100,0.0017333333333333645,0.030333333333333323,65453,9736
150,0.0010666666666666602,0.011266666666666647,75790,16018
200,0.0013333333333332975,0.012399999999999967,77904,19206
250,6.666666666667043E-4,0.00886666666666669,90066,25169
300,6.666666666667043E-4,0.0074666666666666215,98073,30577
350,0.0010666666666666602,0.006733333333333369,79729,37594
400,0.0011333333333333195,0.00660000000000005,96094,43209
450,0.0013333333333332975,0.006000000000000005,109102,50503
500,0.0010666666666666602,0.0048000000000000265,102401,61029
500,0.0010666666666666602,0.005066666666666664,110749,57730
600,0.0011999999999999789,0.005333333333333301,122367,68960
700,8.666666666666822E-4,0.0036000000000000476,120480,75218
800,0.0014666666666666162,0.0014666666666666162,133754,90380
900,0.0015333333333333865,0.0043333333333333,148828,106859
1000,0.0019333333333333425,0.002266666666666639,152251,112301
10,0.029866666666666708,0.2984,37957,972
20,0.003666666666666707,0.058599999999999985,39821,2042
30,0.0027333333333333654,0.038866666666666716,48274,2748
40,0.0043999999999999595,0.03700000000000003,53725,4486
