5,0.026533333333333298,0.44453333333333334,2738,262
10,0.016733333333333378,0.20233333333333337,3034,373
15,0.014800000000000035,0.26213333333333333,3198,578
20,0.00880000000000003,0.20046666666666668,3748,954
25,0.0046000000000000485,0.07413333333333338,3772,1414
30,0.0046000000000000485,0.05693333333333328,4035,1691
35,0.005133333333333323,0.052200000000000024,4310,1939
40,0.00660000000000005,0.04200000000000004,4445,2771
45,0.0016666666666667052,0.024333333333333318,4624,2489
50,0.0040000000000000036,0.03413333333333335,4827,3424
5,0.13419999999999999,0.262,2748,346
10,0.06546666666666667,0.24406666666666665,3049,646
15,0.010333333333333306,0.07699999999999996,3741,838
20,0.012466666666666626,0.16080000000000005,3799,1393
25,0.00653333333333328,0.10086666666666666,3984,1681
30,0.004733333333333367,0.09126666666666672,4241,1717
35,0.013666666666666716,0.05379999999999996,4243,2056
40,0.006066666666666665,0.05900000000000005,4702,2634
45,0.004533333333333278,0.05800000000000005,4526,2484
50,0.006000000000000005,0.05826666666666669,4751,3907
5,0.021733333333333382,0.3129333333333333,2700,336
10,0.014800000000000035,0.27446666666666664,3207,546
15,0.005066666666666664,0.127,3435,1189
20,0.015800000000000036,0.13653333333333328,4190,1093
25,0.008000000000000007,0.05606666666666671,3953,1534
30,0.00880000000000003,0.05953333333333333,4131,1650
35,0.006733333333333369,0.07340000000000002,4778,2201
40,0.004866666666666686,0.04200000000000004,4434,2512
45,0.004266666666666641,0.0696,4567,3122
50,0.002466666666666617,0.022666666666666613,4921,2843
5,0.06299999999999994,0.35406666666666664,2703,274
10,0.0494,0.2575333333333333,3243,477
15,0.02939999999999998,0.10693333333333332,3505,729
20,0.003866666666666685,0.10319999999999996,3815,1200
25,0.008066666666666666,0.0652666666666667,4078,1569
30,0.004533333333333278,0.062133333333333374,4214,1766
35,0.002266666666666639,0.039066666666666694,4297,2533
40,0.0038000000000000256,0.04373333333333329,4379,2609
45,0.0033999999999999586,0.04493333333333338,4486,2940
50,0.0015333333333333865,0.017066666666666674,4893,2737
5,0.08046666666666669,0.3541333333333333,2738,320
10,0.013399999999999967,0.11199999999999999,3115,617
15,0.03180000000000005,0.08660000000000001,3475,861
20,0.010000000000000009,0.06393333333333329,3647,1104
25,0.010399999999999965,0.11226666666666663,4103,1372
30,0.0036000000000000476,0.030333333333333323,4361,1639
35,0.010399999999999965,0.07879999999999998,4295,2075
40,0.0031999999999999806,0.029000000000000026,4647,2730
45,0.0023999999999999577,0.07433333333333336,4717,3042
50,0.0040000000000000036,0.08360000000000001,4697,3446
5,0.04746666666666666,0.366,2694,277
10,0.05406666666666671,0.08366666666666667,3125,554
15,0.01313333333333333,0.14939999999999998,3570,866
20,0.0076666666666667105,0.07240000000000002,3918,1411
25,0.015933333333333355,0.06993333333333329,4039,1380
30,0.011800000000000033,0.08726666666666671,4261,2210
35,0.007333333333333303,0.07646666666666668,4365,2178
40,0.003466666666666618,0.02873333333333339,4795,2270
45,0.0023999999999999577,0.05246666666666666,4665,2712
50,0.00546666666666662,0.05506666666666671,4882,3075
5,0.04266666666666663,0.29779999999999995,2647,290
10,0.024733333333333385,0.12673333333333336,3149,552
15,0.019266666666666654,0.12973333333333337,3560,1083
20,0.008266666666666644,0.06820000000000004,3925,1123
25,0.0027333333333333654,0.07386666666666664,4018,1400
30,0.003866666666666685,0.10153333333333336,4439,1646
35,0.011199999999999988,0.06399999999999995,4379,1914
40,0.0027333333333333654,0.0726,4605,2570
45,0.0019333333333333425,0.021199999999999997,4701,2390
50,0.0021333333333333204,0.03859999999999997,4781,3297
5,0.05620000000000003,0.3990666666666667,2720,353
10,0.009066666666666667,0.15006666666666668,3087,584
15,0.01526666666666665,0.10060000000000002,3468,838
20,0.01959999999999995,0.1432,4297,1186
25,0.009399999999999964,0.10573333333333335,4287,1373
30,0.007533333333333281,0.05046666666666666,4418,2338
35,0.003866666666666685,0.0809333333333333,4670,1926
40,0.002866666666666684,0.0746,4598,2054
45,0.0072666666666666435,0.031066666666666687,4657,3289
50,0.0037333333333333663,0.040066666666666695,4624,2782
5,0.03059999999999996,0.248,2876,411
10,0.037666666666666626,0.2273333333333334,3194,682
15,0.018333333333333313,0.22706666666666664,3470,739
20,0.010000000000000009,0.06699999999999995,3964,1104
25,0.006199999999999983,0.07406666666666661,4042,1848
30,0.0028000000000000247,0.046599999999999975,4331,2097
35,0.00993333333333335,0.0839333333333333,4402,2462
40,0.005199999999999982,0.02513333333333334,4129,2161
45,0.0026000000000000467,0.032466666666666644,4256,1880
50,0.0043999999999999595,0.04373333333333329,4468,2122
5,0.09426666666666672,0.3503333333333334,2576,208
10,0.03433333333333333,0.18366666666666664,3032,423
15,0.0043333333333333,0.09179999999999999,3227,619
20,0.013466666666666627,0.1034666666666667,3657,839
25,0.005800000000000027,0.03186666666666671,3789,1362
30,0.00539999999999996,0.04246666666666665,3902,1442
35,0.010266666666666646,0.04933333333333334,4132,1475
40,0.0027333333333333654,0.04279999999999995,4355,1676
45,0.0028000000000000247,0.02859999999999996,4288,1916
50,0.0033333333333332993,0.045399999999999996,4395,2543
60,0.0023333333333332984,0.022399999999999975,5399,4425
70,0.0043333333333333,0.045399999999999996,5344,5323
80,0.00546666666666662,0.017266666666666652,5586,5468
90,0.002266666666666639,0.03206666666666669,5918,5711
100,0.0026000000000000467,0.014066666666666672,5724,6762
60,0.0028000000000000247,0.017066666666666674,5081,3941
70,0.002266666666666639,0.02080000000000004,5588,4315
80,0.006866666666666688,0.015466666666666629,5914,5916
90,0.0023333333333332984,0.02059999999999995,5827,5612
100,0.0027333333333333654,0.025399999999999978,6058,6686
60,0.0027333333333333654,0.044533333333333314,5237,3935
70,0.0040000000000000036,0.036666666666666625,5224,4713
80,0.005733333333333368,0.017199999999999993,5947,4484
90,0.0017333333333333645,0.015666666666666718,5853,5826
100,0.0023333333333332984,0.027800000000000047,5949,6533
60,0.0043999999999999595,0.03633333333333333,4878,4313
70,0.0033999999999999586,0.03973333333333329,5370,5216
80,0.0015333333333333865,0.013599999999999945,5439,5406
90,0.0036000000000000476,0.02400000000000002,5655,6372
100,0.003066666666666662,0.021533333333333293,6208,5919
60,0.0037333333333333663,0.03500000000000003,5333,3828
70,0.0050000000000000044,0.012466666666666626,5285,3973
80,0.0043333333333333,0.021666666666666612,5937,4543
90,0.0015333333333333865,0.02180000000000004,5835,6863
100,0.0028000000000000247,0.01206666666666667,5734,7066
60,0.002866666666666684,0.03613333333333335,5313,3572
