W: 60, PAA: 8, A: 7, S: classic
150,0.052133333333333365,0.011199999999999988,63275,13775
200,0.040133333333333354,0.011333333333333306,62516,18530
250,0.024933333333333363,0.006133333333333324,102808,25517
300,0.024599999999999955,0.0036000000000000476,85561,28928
350,0.022199999999999998,0.00666666666666671,86760,37359
400,0.017800000000000038,0.006133333333333324,95089,38058
450,0.017199999999999993,0.005066666666666664,94018,43653
500,0.016800000000000037,0.0031999999999999806,100188,37892
500,0.018000000000000016,0.0033999999999999586,105079,48089
600,0.014333333333333309,0.0043999999999999595,108740,68018
700,0.010800000000000032,0.007133333333333325,129445,75567
800,0.011133333333333328,0.002666666666666706,125025,86606
900,0.009333333333333305,0.0040000000000000036,154895,106680
1000,0.008666666666666711,0.0040000000000000036,151045,98316
10,0.3200666666666667,0.15566666666666662,36491,699
20,0.2334666666666667,0.11246666666666671,38420,1689
30,0.22099999999999997,0.14780000000000004,40387,3151
40,0.1425333333333333,0.027200000000000002,41030,3766
50,0.12260000000000004,0.03626666666666667,48972,6945
100,0.06993333333333329,0.02413333333333334,55737,8697
150,0.05453333333333332,0.011466666666666625,59940,16027
200,0.041266666666666674,0.009199999999999986,77954,23608
250,0.031000000000000028,0.005199999999999982,68964,23773
300,0.030066666666666686,0.005933333333333346,70461,30632
350,0.02093333333333336,0.005866666666666687,97043,36972
400,0.02193333333333336,0.003866666666666685,94728,41109
450,0.01666666666666672,0.0033333333333332993,98186,45057
500,0.016199999999999992,0.005666666666666709,97705,46524
500,0.01319999999999999,0.003066666666666662,105805,49631
600,0.015666666666666718,0.0046000000000000485,97537,55693
700,0.011266666666666647,0.0033333333333332993,128455,67629
800,0.010399999999999965,0.002266666666666639,141262,74345
900,0.008666666666666711,0.0028000000000000247,158411,88741
1000,0.00773333333333337,0.0037333333333333663,160433,99002
10,0.38426666666666665,0.23086666666666666,40537,761
20,0.20066666666666666,0.08873333333333333,41366,1897
30,0.15880000000000005,0.06459999999999999,40348,2822
40,0.15559999999999996,0.07573333333333332,43299,3476
50,0.10199999999999998,0.03700000000000003,43215,4513
100,0.07153333333333334,0.0198666666666667,55149,9605
150,0.05693333333333328,0.01100000000000001,64343,13961
200,0.04059999999999997,0.013800000000000034,86255,20579
250,0.038799999999999946,0.006000000000000005,89049,24076
300,0.029266666666666663,0.0048000000000000265,80909,30015
350,0.022800000000000042,0.005933333333333346,98001,26269
400,0.01859999999999995,0.009133333333333327,93290,31116
450,0.018333333333333313,0.005266666666666642,99591,45924
500,0.017066666666666674,0.004133333333333322,110466,54864
500,0.015666666666666718,0.005333333333333301,89881,55085
600,0.012399999999999967,0.0028000000000000247,98131,62278
700,0.013000000000000012,0.004466666666666619,95479,60366
800,0.01093333333333335,0.0035333333333333883,124798,75682
900,0.010266666666666646,0.004666666666666708,123767,94961
1000,0.008399999999999963,0.003866666666666685,146336,108288
