W: 60, PAA: 8, A: 7, S: noreduction
450,8.666666666666822E-4,0.0040000000000000036,198112,43076
500,0.0011999999999999789,0.003066666666666662,187916,52002
500,0.0014666666666666162,0.004733333333333367,179390,54376
600,0.0011333333333333195,0.00653333333333328,207534,58320
700,0.0013999999999999568,0.006266666666666643,220962,73042
800,0.0011999999999999789,0.0035333333333333883,228694,88769
900,0.0011333333333333195,0.002666666666666706,240275,99697
1000,8.666666666666822E-4,0.0026000000000000467,266120,105017
10,0.06633333333333336,0.13806666666666667,44263,1012
20,0.01880000000000004,0.039933333333333376,49188,1184
30,0.009199999999999986,0.07466666666666666,51368,2819
40,0.005066666666666664,0.04413333333333336,52758,3742
50,0.004066666666666663,0.030200000000000005,63982,4634
100,0.0018000000000000238,0.01313333333333333,82020,8868
150,9.333333333333416E-4,0.006399999999999961,112582,11901
200,0.0016666666666667052,0.009333333333333305,128117,18049
250,0.0010666666666666602,0.007133333333333325,147573,22953
300,0.0011999999999999789,0.005866666666666687,139535,28639
350,0.0012666666666666382,0.007800000000000029,166687,32721
400,0.0015333333333333865,0.004533333333333278,161025,36932
450,0.0010000000000000009,0.0036000000000000476,175969,42504
500,0.0014666666666666162,0.0037333333333333663,198348,55716
500,0.0015333333333333865,0.004666666666666708,203171,52776
600,0.0020000000000000018,0.0033333333333332993,220282,65360
700,0.0013999999999999568,0.003066666666666662,221671,72498
800,0.0012666666666666382,0.004066666666666663,240754,86661
900,0.0012666666666666382,0.0023999999999999577,288265,96014
1000,0.0014666666666666162,0.002266666666666639,279469,112287
10,0.041066666666666696,0.18920000000000003,42271,877
20,0.018399999999999972,0.1021333333333333,49613,1853
30,0.0050000000000000044,0.01973333333333338,54797,2621
40,0.0072666666666666435,0.034399999999999986,56491,3952
50,0.003866666666666685,0.03626666666666667,57270,4594
100,0.0015333333333333865,0.0285333333333333,86056,7859
150,0.0013999999999999568,0.007000000000000006,99011,13074
200,0.0013999999999999568,0.01426666666666665,121981,16378
250,0.0014666666666666162,0.008000000000000007,129756,23592
300,0.0011333333333333195,0.008933333333333349,133146,25237
350,0.0016666666666667052,0.008666666666666711,182870,30107
400,0.0019333333333333425,0.009199999999999986,173025,39160
450,0.0016000000000000458,0.004066666666666663,162619,40690
500,0.0019333333333333425,0.006933333333333347,191515,41667
500,0.0016666666666667052,0.0036000000000000476,177003,45822
600,0.0011333333333333195,0.005199999999999982,204013,57682
700,0.0011999999999999789,0.005066666666666664,228408,56259
800,0.0011999999999999789,0.003466666666666618,242248,86284
900,0.0013999999999999568,0.0041999999999999815,263938,90599
1000,7.333333333333636E-4,0.0016666666666667052,276536,101748
10,0.06366666666666665,0.29179999999999995,43323,885
20,0.01319999999999999,0.15926666666666667,46430,1515
30,0.006333333333333302,0.04526666666666668,52815,2916
40,0.004066666666666663,0.045533333333333315,61548,3672
50,0.0033333333333332993,0.034599999999999964,65252,4695
100,0.0020000000000000018,0.01866666666666672,95851,8941
150,0.0014666666666666162,0.018399999999999972,128481,15691
200,0.0012666666666666382,0.00660000000000005,147343,16052
250,0.0011999999999999789,0.006199999999999983,142668,23619
300,0.0010000000000000009,0.006199999999999983,124210,23398
350,0.0010000000000000009,0.00773333333333337,182514,31176
400,8.666666666666822E-4,0.005933333333333346,182060,41021
450,0.0011999999999999789,0.003066666666666662,195193,48288
500,7.333333333333636E-4,0.005199999999999982,213183,45864
500,0.0011999999999999789,0.0029333333333333433,212965,43316
600,0.0010000000000000009,0.00326666666666664,213669,60023
700,8.666666666666822E-4,0.0035333333333333883,190409,67284
800,0.0011333333333333195,0.0037333333333333663,227411,73979
900,9.333333333333416E-4,0.0043333333333333,252153,81440
1000,0.0012666666666666382,0.002666666666666706,247375,91424
10,0.07913333333333339,0.2204666666666667,42611,707
20,0.032333333333333325,0.07679999999999998,48050,1538
30,0.015533333333333288,0.08506666666666662,54384,2939
40,0.005933333333333346,0.060933333333333284,61495,3772
50,0.0040000000000000036,0.037933333333333374,63053,3868
100,0.0013999999999999568,0.017266666666666652,80025,8830
150,0.0012666666666666382,0.006000000000000005,103299,12670
200,0.0013333333333332975,0.010800000000000032,127012,17380
250,0.0011333333333333195,0.01093333333333335,132238,22082
300,0.0013333333333332975,0.006933333333333347,154330,30016
350,0.0011333333333333195,0.005066666666666664,153741,29165
400,7.333333333333636E-4,0.0033333333333332993,166655,41459
450,0.0010000000000000009,0.004733333333333367,171981,39351
500,0.0013333333333332975,0.0035333333333333883,175525,47496
500,0.0010666666666666602,0.004866666666666686,182850,43138
600,6.666666666667043E-4,0.002866666666666684,210299,51635
700,0.0010000000000000009,0.00326666666666664,233044,76118
800,6.000000000000449E-4,0.0027333333333333654,218342,79919
900,0.0012666666666666382,0.004666666666666708,267093,90817
1000,8.666666666666822E-4,0.0033333333333332993,250537,109496
10,0.05053333333333332,0.1780666666666667,43413,1033
20,0.012599999999999945,0.0938,47503,2106
30,0.010066666666666668,0.06779999999999997,50993,2733
40,0.008933333333333349,0.07920000000000005,56806,3784
50,0.005800000000000027,0.04273333333333329,63178,4615
100,0.0021333333333333204,0.010866666666666691,97190,9710
150,0.0016000000000000458,0.011466666666666625,108774,14374
200,9.333333333333416E-4,0.0040000000000000036,122511,20611
250,0.0015333333333333865,0.008600000000000052,160488,23465
300,0.0011333333333333195,0.004533333333333278,151794,28509
350,0.0013999999999999568,0.0043999999999999595,165862,34154
400,0.0014666666666666162,0.007399999999999962,165742,29828
450,0.0010000000000000009,0.003866666666666685,145143,33489
500,0.0012666666666666382,0.0031333333333333213,190815,39910
500,0.0011333333333333195,0.0048000000000000265,181898,46911
600,0.0012666666666666382,0.0035333333333333883,175655,55148
700,0.0012666666666666382,0.0030000000000000027,232105,68123
800,0.0013333333333332975,0.002066666666666661,221549,64319
900,9.333333333333416E-4,0.0018666666666666831,233451,76518
1000,0.0013333333333332975,0.0028000000000000247,236658,102340
10,0.06479999999999997,0.11653333333333338,41515,999
20,0.011399999999999966,0.04159999999999997,45868,1958
30,0.006333333333333302,0.13460000000000005,46721,2845
40,0.009600000000000053,0.07333333333333336,54273,3282
50,0.0035333333333333883,0.016199999999999992,54265,3885
100,0.0031333333333333213,0.027599999999999958,74312,8135
150,0.0012666666666666382,0.013333333333333308,91888,12362
200,0.0014666666666666162,0.01313333333333333,126294,17187
250,0.0018000000000000238,0.010399999999999965,153554,19728
300,0.0015333333333333865,0.0074666666666666215,134717,22926
350,0.0012666666666666382,0.007866666666666688,175387,33578
400,0.0015333333333333865,0.009066666666666667,169098,34918
450,0.0013333333333332975,0.0048000000000000265,202803,42109
500,0.0012666666666666382,0.00666666666666671,181976,43026
500,0.0014666666666666162,0.007933333333333348,187559,46029
600,0.0011999999999999789,0.0033999999999999586,197652,49956
700,0.0011333333333333195,0.0038000000000000256,232184,66285
800,0.0016666666666667052,0.0035333333333333883,217381,72440
900,8.000000000000229E-4,0.0026000000000000467,278234,78151
1000,0.0015333333333333865,0.0023999999999999577,265661,86648
