W: 35, PAA: 4, A: 12, S: exact
10,0.023599999999999954,0.2248,15844,949
20,0.017066666666666674,0.062000000000000055,15285,1613
30,0.035466666666666646,0.04853333333333332,16169,2701
40,0.012800000000000034,0.031266666666666665,17728,3795
50,0.012599999999999945,0.0208666666666667,16813,5276
100,0.015133333333333332,0.011866666666666692,17422,8455
150,0.014666666666666717,0.009666666666666712,16656,11446
200,0.009000000000000008,0.00773333333333337,17400,18244
250,0.01966666666666672,0.014333333333333309,20027,23119
300,0.013533333333333286,0.0046000000000000485,19837,27168
350,0.016199999999999992,0.0043333333333333,17563,30209
400,0.013733333333333375,0.006866666666666688,18746,37547
450,0.05820000000000003,0.005066666666666664,17922,42159
500,0.036933333333333374,0.005199999999999982,17930,51529
500,0.03733333333333333,0.005933333333333346,21951,44686
600,0.05926666666666669,0.0038000000000000256,19342,61953
700,0.05993333333333328,0.006199999999999983,22727,73982
800,0.08013333333333328,0.004266666666666641,21630,83978
900,0.05586666666666662,0.0048000000000000265,20183,107398
1000,0.08166666666666667,0.0033333333333332993,21105,111445
10,0.04493333333333338,0.2558,15751,898
20,0.015533333333333288,0.07620000000000005,16059,1634
30,0.020399999999999974,0.10626666666666662,16734,2858
40,0.025000000000000022,0.057666666666666644,15619,2972
50,0.012866666666666693,0.036733333333333285,16077,3814
100,0.011933333333333351,0.021199999999999997,17167,7581
150,0.01853333333333329,0.007800000000000029,17257,13611
200,0.022399999999999975,0.007333333333333303,17550,16704
250,0.019266666666666654,0.011399999999999966,18805,27229
300,0.023866666666666703,0.010733333333333372,17338,28001
350,0.01526666666666665,0.00539999999999996,17508,28845
400,0.013000000000000012,0.002466666666666617,18125,32702
450,0.036866666666666714,0.008266666666666644,18435,42320
500,0.04139999999999999,0.011533333333333284,18586,44692
500,0.06299999999999994,0.005333333333333301,19376,43456
600,0.05146666666666666,0.0046000000000000485,18947,59662
700,0.048799999999999955,0.005266666666666642,19975,73953
800,0.07113333333333338,0.003666666666666707,20719,88569
900,0.08173333333333332,0.003666666666666707,18952,94577
1000,0.08099999999999996,0.0019333333333333425,20820,97596
10,0.07553333333333334,0.21353333333333335,15806,868
20,0.012866666666666693,0.0702666666666667,15458,1708
30,0.014733333333333376,0.12180000000000002,16164,3306
40,0.013333333333333308,0.05146666666666666,16119,3536
50,0.012199999999999989,0.031066666666666687,16639,3887
100,0.011866666666666692,0.011866666666666692,17335,8512
150,0.008000000000000007,0.012533333333333285,18719,14249
200,0.016066666666666674,0.011333333333333306,20223,20349
250,0.014933333333333354,0.008666666666666711,20445,26213
300,0.029000000000000026,0.007000000000000006,20026,32778
350,0.017199999999999993,0.009266666666666645,19564,40003
400,0.04259999999999997,0.008399999999999963,20868,45484
450,0.017199999999999993,0.006866666666666688,19563,45051
500,0.029133333333333344,0.005800000000000027,19635,51128
500,0.04346666666666665,0.0048000000000000265,20048,54160
600,0.05053333333333332,0.004733333333333367,20033,70217
700,0.054333333333333345,0.0048000000000000265,21676,71086
800,0.07206666666666661,0.0033333333333332993,20704,91720
900,0.07579999999999998,0.0035333333333333883,20417,105587
1000,0.11073333333333335,0.002866666666666684,21959,125407
10,0.041133333333333355,0.3533333333333334,15993,917
20,0.0072666666666666435,0.12680000000000002,17207,2220
30,0.02073333333333338,0.1927333333333333,17401,3176
40,0.02506666666666668,0.04526666666666668,16973,3945
50,0.01666666666666672,0.038000000000000034,17345,4956
100,0.015466666666666629,0.032466666666666644,18214,8876
150,0.0198666666666667,0.01973333333333338,17879,14084
200,0.013733333333333375,0.012266666666666648,18834,24432
250,0.03593333333333337,0.00666666666666671,18625,23671
