W: 35, PAA: 4, A: 12, S: classic
10,0.22819999999999996,0.18686666666666663,14229,784
20,0.17100000000000004,0.09440000000000004,14358,1838
30,0.09326666666666672,0.07546666666666668,14728,2817
40,0.09073333333333333,0.04466666666666663,16356,3948
50,0.06659999999999999,0.04366666666666663,16046,4394
100,0.07699999999999996,0.018066666666666675,16943,9191
150,0.059599999999999986,0.009800000000000031,16086,13126
200,0.07106666666666661,0.011066666666666669,15635,16677
250,0.055466666666666664,0.01419999999999999,17072,19101
300,0.07099999999999995,0.0050000000000000044,16717,25504
350,0.07646666666666668,0.0023333333333332984,17222,33315
400,0.06120000000000003,0.00660000000000005,17802,36597
450,0.09493333333333331,0.0070666666666666655,18064,42123
500,0.0998,0.0037333333333333663,17189,50321
500,0.09973333333333334,0.004266666666666641,17888,48076
600,0.0726,0.006000000000000005,18362,63570
700,0.13053333333333328,0.004066666666666663,18543,65337
800,0.13306666666666667,0.0037333333333333663,18336,93701
900,0.14473333333333338,0.003866666666666685,19643,102360
1000,0.15800000000000003,0.0027333333333333654,20430,114862
10,0.2932,0.30966666666666665,14513,889
20,0.2041333333333334,0.09053333333333335,13597,1190
30,0.14706666666666668,0.07206666666666661,14557,2211
40,0.11126666666666662,0.05379999999999996,14962,2969
50,0.0809333333333333,0.032333333333333325,14620,3827
100,0.05459999999999998,0.009199999999999986,15198,9581
150,0.06853333333333333,0.011666666666666714,16251,13689
200,0.06946666666666668,0.009199999999999986,16859,18514
250,0.05826666666666669,0.006199999999999983,17341,23427
300,0.04293333333333338,0.005066666666666664,17641,30758
350,0.06040000000000001,0.007199999999999984,19653,35619
400,0.10299999999999998,0.004866666666666686,17788,41387
450,0.10073333333333334,0.005333333333333301,19056,49914
500,0.08473333333333333,0.0036000000000000476,18992,49747
500,0.08826666666666672,0.0026000000000000467,17911,51198
600,0.10973333333333335,0.0043999999999999595,18887,60581
700,0.1024666666666667,0.003666666666666707,18470,64623
800,0.14273333333333338,0.0031999999999999806,20010,88550
900,0.12926666666666664,0.004466666666666619,19078,109581
1000,0.16359999999999997,0.002066666666666661,22964,120750
10,0.25260000000000005,0.10099999999999998,14460,876
20,0.16433333333333333,0.15226666666666666,14712,1867
30,0.11499999999999999,0.08473333333333333,15010,2500
40,0.0776,0.08566666666666667,15175,3456
50,0.06753333333333333,0.05553333333333332,15644,4868
100,0.05579999999999996,0.021399999999999975,16461,10288
150,0.05733333333333335,0.018399999999999972,16487,14522
200,0.06140000000000001,0.00886666666666669,16632,19078
250,0.0567333333333333,0.0043999999999999595,17060,21015
300,0.07479999999999998,0.005600000000000049,16563,32207
350,0.09666666666666668,0.005600000000000049,18111,35051
400,0.10073333333333334,0.008666666666666711,18337,46306
450,0.06913333333333338,0.005199999999999982,18883,42851
500,0.08799999999999997,0.0033999999999999586,18139,51147
500,0.11119999999999997,0.005333333333333301,19177,59115
600,0.1041333333333333,0.004533333333333278,19310,71357
700,0.11286666666666667,0.003066666666666662,20307,77499
800,0.1418666666666667,0.0021999999999999797,20495,86718
900,0.1552,0.0023999999999999577,19848,111492
1000,0.19906666666666661,0.004466666666666619,19320,122469
10,0.2975333333333333,0.1700666666666667,14562,933
20,0.09626666666666661,0.09013333333333329,14824,2062
30,0.07086666666666663,0.04073333333333329,15594,3041
40,0.11633333333333329,0.07613333333333339,16496,4360
50,0.10906666666666665,0.03533333333333333,15678,5523
100,0.06933333333333336,0.021066666666666678,17377,9441
150,0.05600000000000005,0.020266666666666655,16982,14285
200,0.06940000000000002,0.00993333333333335,16830,20651
250,0.06440000000000001,0.009066666666666667,18117,31124
