W: 35, PAA: 4, A: 12, S: noreduction
10,0.02080000000000004,0.13113333333333332,15442,717
20,0.02306666666666668,0.08613333333333328,16169,1906
30,0.020000000000000018,0.07073333333333331,17229,2704
40,0.01639999999999997,0.04713333333333336,16600,4098
50,0.011399999999999966,0.03813333333333335,18139,5126
100,0.010666666666666713,0.011600000000000055,17887,8831
150,0.011399999999999966,0.01200000000000001,17850,14052
200,0.011466666666666625,0.013866666666666694,19359,18041
250,0.03700000000000003,0.008666666666666711,17369,21947
300,0.02073333333333338,0.008199999999999985,18591,26967
350,0.04179999999999995,0.0072666666666666435,19674,32707
400,0.024466666666666637,0.0028000000000000247,18514,41403
450,0.018199999999999994,0.003066666666666662,18762,44868
500,0.04800000000000004,0.004733333333333367,19592,51636
500,0.03080000000000005,0.00539999999999996,19012,49235
600,0.06499999999999995,0.003466666666666618,19243,60159
700,0.06146666666666667,0.003666666666666707,20554,67208
800,0.057466666666666666,0.0023999999999999577,18706,75780
900,0.09206666666666663,0.004266666666666641,22515,98756
1000,0.10506666666666664,0.00326666666666664,20255,110194
10,0.012733333333333374,0.19753333333333334,16048,1252
20,0.016800000000000037,0.06666666666666665,16982,2531
30,0.0712666666666667,0.05900000000000005,16959,3450
40,0.01213333333333333,0.05259999999999998,16926,3965
50,0.014066666666666672,0.03733333333333333,17340,5369
100,0.014666666666666717,0.023266666666666658,17632,10713
150,0.010133333333333328,0.012733333333333374,18172,15482
200,0.017000000000000015,0.00653333333333328,18354,16975
250,0.009199999999999986,0.0040000000000000036,18523,22944
300,0.012266666666666648,0.005066666666666664,17311,25962
350,0.022866666666666702,0.007133333333333325,17906,31325
400,0.020133333333333336,0.005133333333333323,18307,42349
450,0.025733333333333386,0.005666666666666709,20353,37775
500,0.05286666666666662,0.0031999999999999806,18574,40810
500,0.02193333333333336,0.00539999999999996,18235,50048
600,0.02859999999999996,0.003066666666666662,20303,67369
700,0.0490666666666667,0.004266666666666641,20886,80613
800,0.0716,0.0043999999999999595,20345,76480
900,0.0676,0.004666666666666708,20990,100693
1000,0.08253333333333335,0.002466666666666617,22186,110569
10,0.027666666666666617,0.15213333333333334,14553,1138
20,0.01313333333333333,0.11613333333333331,16409,1708
30,0.021399999999999975,0.05120000000000002,15833,2598
40,0.006066666666666665,0.03593333333333337,16569,4631
50,0.012733333333333374,0.00886666666666669,16431,4551
100,0.0074666666666666215,0.02180000000000004,19307,10616
150,0.013466666666666627,0.007533333333333281,18875,15591
200,0.02400000000000002,0.007600000000000051,17920,19068
250,0.02059999999999995,0.009199999999999986,17595,22020
300,0.02406666666666668,0.0076666666666667105,18834,26738
350,0.02406666666666668,0.008066666666666666,18979,29824
400,0.021133333333333337,0.004733333333333367,17647,35919
450,0.037666666666666626,0.004533333333333278,19319,39008
500,0.03520000000000001,0.004866666666666686,18138,50290
500,0.043200000000000016,0.003866666666666685,18807,53006
600,0.048866666666666614,0.0041999999999999815,19994,69331
700,0.03859999999999997,0.003666666666666707,20730,72018
800,0.07640000000000002,0.00326666666666664,19876,86555
900,0.12260000000000004,0.0035333333333333883,20461,104418
1000,0.10546666666666671,0.002866666666666684,22965,120977
10,0.020533333333333292,0.1644,15459,1002
20,0.022533333333333294,0.04746666666666666,15758,1921
30,0.011333333333333306,0.09540000000000004,16016,2998
40,0.01853333333333329,0.035666666666666624,17556,4516
50,0.01733333333333331,0.054200000000000026,16619,4274
100,0.015199999999999991,0.025466666666666637,17419,8852
150,0.011533333333333284,0.010533333333333283,17996,17285
200,0.010133333333333328,0.009333333333333305,19935,22611
250,0.011066666666666669,0.009800000000000031,19853,23832
