W: 60, PAA: 8, A: 8, S: noreduction
10,0.04693333333333338,0.15646666666666664,43037,875
20,0.029133333333333344,0.08053333333333335,48828,1652
30,0.01653333333333329,0.04239999999999999,56103,2769
40,0.01213333333333333,0.0759333333333333,61368,3642
50,0.012599999999999945,0.04800000000000004,66305,4071
100,0.005800000000000027,0.028866666666666707,90258,7824
150,0.004133333333333322,0.010199999999999987,110516,12234
200,0.003666666666666707,0.013666666666666716,117159,16424
250,0.0021999999999999797,0.007600000000000051,131845,18147
300,0.002466666666666617,0.00660000000000005,151732,28423
350,0.0023333333333332984,0.006733333333333369,174427,30041
400,0.002466666666666617,0.006733333333333369,167226,34597
450,0.0019333333333333425,0.00660000000000005,177592,38816
500,0.002266666666666639,0.006000000000000005,219932,40139
500,0.0028000000000000247,0.004933333333333345,197154,39780
600,0.0018000000000000238,0.005266666666666642,259308,47066
700,0.0021999999999999797,0.004266666666666641,276779,63964
800,0.0015333333333333865,0.0029333333333333433,274541,68943
900,0.0016000000000000458,0.0030000000000000027,298327,67358
1000,0.0013333333333332975,0.0023999999999999577,321945,82870
10,0.04633333333333334,0.09833333333333338,38140,656
20,0.03500000000000003,0.13546666666666662,41891,1494
30,0.025666666666666615,0.057533333333333325,49789,2300
40,0.014399999999999968,0.04286666666666672,62181,3328
50,0.008199999999999985,0.03300000000000003,50518,4271
100,0.0031333333333333213,0.0070666666666666655,68881,8050
150,0.0016000000000000458,0.01206666666666667,83016,11160
200,0.0020000000000000018,0.0038000000000000256,118047,18054
250,0.0030000000000000027,0.010866666666666691,127352,23691
300,0.002666666666666706,0.008933333333333349,165761,24605
350,0.003066666666666662,0.006933333333333347,160843,29519
400,0.0016000000000000458,0.00546666666666662,181668,34771
450,0.0020000000000000018,0.006333333333333302,205004,40965
500,9.333333333333416E-4,0.0048000000000000265,234700,47446
500,0.0010666666666666602,0.0028000000000000247,193503,37713
600,0.0012666666666666382,0.0036000000000000476,224082,49834
700,0.0013999999999999568,0.0031999999999999806,289344,59193
800,0.0013333333333332975,0.007866666666666688,292225,60229
900,0.0010666666666666602,0.0031333333333333213,298728,72207
1000,0.0011999999999999789,0.0037333333333333663,303442,78057
10,0.12060000000000004,0.2870666666666667,38578,783
20,0.036933333333333374,0.052133333333333365,41781,1404
30,0.019333333333333313,0.06379999999999997,45772,2217
40,0.010866666666666691,0.05166666666666664,46322,3062
50,0.009399999999999964,0.04673333333333329,50887,3761
100,0.0031333333333333213,0.03539999999999999,66716,7268
150,0.0043333333333333,0.005933333333333346,104852,12414
200,0.0019333333333333425,0.011199999999999988,141869,16957
250,0.003066666666666662,0.008266666666666644,130786,22004
300,0.0016666666666667052,0.006466666666666621,155423,25824
350,0.0030000000000000027,0.005866666666666687,164459,30170
400,0.0018000000000000238,0.00539999999999996,162869,28579
450,0.0023333333333332984,0.005933333333333346,201406,38521
500,0.0018666666666666831,0.00666666666666671,205458,40883
500,0.0018666666666666831,0.005199999999999982,203741,44092
600,0.0016666666666667052,0.005133333333333323,220049,44617
700,0.0021333333333333204,0.0033333333333332993,266691,59143
