W: 60, PAA: 7, A: 8, S: noreduction
10,0.08146666666666669,0.23006666666666664,36555,910
20,0.01319999999999999,0.09666666666666668,39568,1482
30,0.004666666666666708,0.043266666666666675,42981,2190
40,0.005266666666666642,0.055266666666666686,46607,3432
50,0.005666666666666709,0.030000000000000027,52242,3980
100,0.0023999999999999577,0.009266666666666645,63592,7334
150,0.00326666666666664,0.007000000000000006,62120,12967
200,0.0018000000000000238,0.0070666666666666655,69806,15899
250,0.003066666666666662,0.007600000000000051,74241,21141
300,0.0021333333333333204,0.0070666666666666655,85006,24041
350,0.0015333333333333865,0.004133333333333322,118470,24177
400,0.0023333333333332984,0.005533333333333279,80611,27964
450,0.0021999999999999797,0.004466666666666619,96667,40242
500,0.0015333333333333865,0.0029333333333333433,106998,39650
500,0.0027333333333333654,0.005733333333333368,103119,37366
600,0.0016000000000000458,0.0037333333333333663,110946,44870
700,0.0017333333333333645,0.004466666666666619,121210,53264
800,0.0013333333333332975,0.002266666666666639,128862,57833
900,0.0021333333333333204,0.0026000000000000467,142151,74283
1000,0.0014666666666666162,0.002666666666666706,142780,73440
10,0.06666666666666665,0.12773333333333337,35427,682
20,0.019000000000000017,0.05833333333333335,38701,1639
30,0.005933333333333346,0.09686666666666666,38764,2417
40,0.007399999999999962,0.05159999999999998,41728,3032
50,0.002266666666666639,0.022333333333333316,43958,3774
100,0.0023999999999999577,0.018066666666666675,54467,7459
150,0.002266666666666639,0.01213333333333333,61582,11469
200,0.0018666666666666831,0.010133333333333328,78586,16712
250,0.002066666666666661,0.0070666666666666655,70670,18194
300,0.0011999999999999789,0.006933333333333347,81751,24508
350,0.0015333333333333865,0.007133333333333325,79301,26434
400,0.0015333333333333865,0.006866666666666688,95729,31549
450,0.0013999999999999568,0.0020000000000000018,104698,37574
500,0.002066666666666661,0.005533333333333279,90877,39509
500,0.0013333333333332975,0.004666666666666708,88553,39578
600,0.0011333333333333195,0.005600000000000049,96931,47736
700,0.0013333333333332975,0.002266666666666639,112698,51035
800,0.0016666666666667052,0.002466666666666617,125800,54760
900,0.0015333333333333865,0.0021999999999999797,130162,65900
1000,0.0012666666666666382,0.002866666666666684,155420,79821
10,0.02946666666666664,0.2324666666666667,33651,685
20,0.0072666666666666435,0.05393333333333339,36547,1414
30,0.010266666666666646,0.05386666666666662,38786,2020
40,0.00546666666666662,0.07833333333333337,40333,3059
50,0.002466666666666617,0.039000000000000035,42368,3893
100,0.004066666666666663,0.021399999999999975,50194,6742
150,0.0021999999999999797,0.008333333333333304,59579,10041
200,0.002266666666666639,0.008199999999999985,64587,14770
250,0.002266666666666639,0.005866666666666687,75400,18109
300,0.0025333333333333874,0.0072666666666666435,74999,24191
350,0.0021999999999999797,0.010533333333333283,82082,26193
400,0.0023333333333332984,0.005933333333333346,78834,29952
450,0.0015333333333333865,0.00326666666666664,89969,31956
500,0.002666666666666706,0.005933333333333346,112210,40901
500,0.0020000000000000018,0.004066666666666663,107491,33074
600,0.002066666666666661,0.0031333333333333213,106058,41377
700,0.0014666666666666162,0.0031333333333333213,129307,50920
800,0.002066666666666661,0.005133333333333323,127638,61548
900,0.0013999999999999568,0.003066666666666662,138062,66421
1000,0.0014666666666666162,0.0020000000000000018,143892,74016
10,0.023733333333333384,0.08740000000000003,34694,769
20,0.013066666666666671,0.10033333333333339,37623,1546
30,0.006733333333333369,0.07553333333333334,40542,2562
40,0.008600000000000052,0.0514,40672,2618
50,0.006733333333333369,0.05413333333333337,44490,4522
100,0.004066666666666663,0.03073333333333328,51763,6878
150,0.0035333333333333883,0.006933333333333347,53761,11335
200,0.0018000000000000238,0.006333333333333302,57047,13730
250,0.0021999999999999797,0.008000000000000007,68413,19758
300,0.002266666666666639,0.005333333333333301,87809,21994
350,0.0021333333333333204,0.005199999999999982,84074,26608
400,0.0021333333333333204,0.008266666666666644,82804,32480
450,0.0015333333333333865,0.0046000000000000485,93694,32032
500,0.0013333333333332975,0.0037333333333333663,77497,37146
500,0.0020000000000000018,0.0048000000000000265,89064,36018
600,0.0018000000000000238,0.0050000000000000044,122026,47893
700,0.0021999999999999797,0.0038000000000000256,115321,59012
800,0.0011999999999999789,0.0035333333333333883,119361,64918
900,0.0011999999999999789,0.0028000000000000247,153117,68152
1000,0.0021333333333333204,0.003933333333333344,138677,86011
10,0.017933333333333357,0.13246666666666662,35052,848
20,0.007933333333333348,0.10619999999999996,37476,1668
30,0.00653333333333328,0.03739999999999999,39792,2511
40,0.007866666666666688,0.037666666666666626,41243,3282
50,0.005733333333333368,0.031133333333333346,42046,4022
100,0.003666666666666707,0.0208666666666667,48630,8290
150,0.0028000000000000247,0.012666666666666715,56311,10713
200,0.0023999999999999577,0.014733333333333376,68928,16338
250,0.0023333333333332984,0.006933333333333347,70930,17964
300,0.003066666666666662,0.006199999999999983,65574,23197
350,0.0014666666666666162,0.005800000000000027,102198,30059
400,0.0011999999999999789,0.004866666666666686,105268,32338
450,0.0018000000000000238,0.005533333333333279,93486,37343
500,0.0013999999999999568,0.005600000000000049,98949,37121
500,0.0014666666666666162,0.005066666666666664,93893,39807
600,0.0014666666666666162,0.0035333333333333883,100931,48643
10,0.06113333333333337,0.2201333333333333,38933,1078
20,0.016866666666666696,0.061799999999999966,42223,1660
30,0.007000000000000006,0.04913333333333336,48941,3099
40,0.004666666666666708,0.04093333333333338,56396,3430
50,0.007399999999999962,0.04159999999999997,63343,5047
100,0.0037333333333333663,0.021266666666666656,81963,9274
150,0.002466666666666617,0.011066666666666669,88105,14250
200,0.0031333333333333213,0.012733333333333374,108153,20179
250,0.0028000000000000247,0.006399999999999961,121867,26157
300,0.0025333333333333874,0.005199999999999982,112252,31699
350,0.0019333333333333425,0.005133333333333323,166204,36182
400,0.0020000000000000018,0.003066666666666662,139883,41816
450,0.0017333333333333645,0.004466666666666619,148642,54403
500,0.0011333333333333195,0.0038000000000000256,152221,64640
