W: 60, PAA: 7, A: 8, S: classic
10,0.21113333333333328,0.16493333333333338,34978,833
20,0.2076,0.08886666666666665,37161,2045
30,0.1445333333333333,0.030066666666666686,38123,2152
40,0.13693333333333335,0.04073333333333329,43643,5003
50,0.10353333333333337,0.0325333333333333,45611,4838
100,0.0567333333333333,0.016066666666666674,47867,8094
150,0.03286666666666671,0.01973333333333338,63350,16125
200,0.02633333333333332,0.008466666666666622,69225,18862
250,0.0232,0.01533333333333331,73017,26274
300,0.01633333333333331,0.005133333333333323,67168,25190
350,0.017866666666666697,0.007199999999999984,70742,37517
400,0.015800000000000036,0.008600000000000052,69312,34913
450,0.013466666666666627,0.004733333333333367,96477,42258
500,0.012266666666666648,0.004066666666666663,96355,49325
500,0.011199999999999988,0.005666666666666709,100735,50767
600,0.008533333333333282,0.003866666666666685,91440,66513
700,0.010133333333333328,0.005266666666666642,98292,77128
800,0.007933333333333348,0.0036000000000000476,122689,97062
900,0.006333333333333302,0.0035333333333333883,127325,103040
1000,0.008000000000000007,0.004266666666666641,110741,107712
10,0.2533333333333333,0.1014666666666667,33980,817
20,0.19013333333333338,0.1385333333333333,38219,1715
30,0.1518666666666667,0.10740000000000005,40952,3240
40,0.10233333333333339,0.14273333333333338,43562,3615
50,0.12860000000000005,0.03286666666666671,43277,4734
100,0.062066666666666714,0.02193333333333336,55611,9559
150,0.03300000000000003,0.020666666666666722,60381,13028
200,0.028266666666666662,0.019000000000000017,54973,18506
250,0.02306666666666668,0.009333333333333305,67035,26062
300,0.017133333333333334,0.008066666666666666,69183,30209
350,0.01766666666666672,0.0072666666666666435,86272,44719
400,0.014133333333333331,0.007199999999999984,83872,50918
450,0.012666666666666715,0.0041999999999999815,90163,52828
500,0.010600000000000054,0.00546666666666662,81246,55960
500,0.012399999999999967,0.006066666666666665,94984,58800
600,0.011800000000000033,0.0036000000000000476,126025,66801
700,0.010199999999999987,0.0031333333333333213,98728,86244
800,0.00873333333333337,0.0031333333333333213,128804,85450
900,0.008000000000000007,0.00326666666666664,122922,89135
1000,0.007866666666666688,0.00326666666666664,148740,115317
10,0.2646666666666667,0.12553333333333339,34424,891
20,0.17213333333333336,0.08286666666666664,35182,1686
30,0.1408666666666667,0.07346666666666668,36591,2586
40,0.12793333333333334,0.07299999999999995,40724,3895
50,0.09133333333333338,0.08986666666666665,43353,5435
100,0.04633333333333334,0.01666666666666672,49443,13246
150,0.03846666666666665,0.019066666666666676,60015,18120
200,0.02300000000000002,0.010266666666666646,70341,20025
250,0.01973333333333338,0.00873333333333337,67172,23082
300,0.01753333333333329,0.002666666666666706,83571,29049
350,0.013933333333333353,0.0046000000000000485,108615,38417
400,0.013000000000000012,0.0050000000000000044,78973,43331
450,0.011066666666666669,0.0070666666666666655,96435,48570
500,0.010199999999999987,0.0036000000000000476,101315,68772
500,0.011666666666666714,0.004066666666666663,86539,55400
600,0.010733333333333372,0.0037333333333333663,90331,67877
700,0.00886666666666669,0.003066666666666662,98035,76904
800,0.007199999999999984,0.0028000000000000247,118088,94740
900,0.006933333333333347,0.0018000000000000238,114905,107262
1000,0.00660000000000005,0.0029333333333333433,117991,123413
10,0.2995333333333333,0.3937333333333334,34496,782
20,0.1947333333333333,0.18593333333333328,38839,1575
30,0.12839999999999996,0.020066666666666677,37696,3385
40,0.11419999999999997,0.034533333333333305,40577,4946
50,0.1246666666666667,0.032333333333333325,45749,4310
100,0.0716,0.012733333333333374,56157,8405
150,0.038866666666666716,0.014399999999999968,57111,13659
200,0.028666666666666618,0.013266666666666649,56971,23387
250,0.023933333333333362,0.005800000000000027,71577,24689
300,0.021066666666666678,0.009800000000000031,70822,35662
350,0.014399999999999968,0.008933333333333349,70379,34482
400,0.01626666666666665,0.0036000000000000476,85790,42625
450,0.013666666666666716,0.008199999999999985,108259,43670
500,0.013666666666666716,0.0043333333333333,101217,54396
500,0.011199999999999988,0.0048000000000000265,100809,50966
600,0.011866666666666692,0.0038000000000000256,95481,59767
700,0.009199999999999986,0.003066666666666662,117628,86641
800,0.00986666666666669,0.0023999999999999577,106259,81857
900,0.00773333333333337,0.0035333333333333883,122160,104042
1000,0.007133333333333325,0.0020000000000000018,132637,115288
10,0.22893333333333332,0.1959333333333333,36618,1382
20,0.19240000000000002,0.06299999999999994,41550,2282
30,0.1675333333333333,0.052200000000000024,39020,3592
40,0.12780000000000002,0.03300000000000003,45703,5601
50,0.1091333333333333,0.03313333333333335,43384,5445
100,0.06253333333333333,0.016733333333333378,52276,8231
150,0.034599999999999964,0.012599999999999945,64709,13412
200,0.02639999999999998,0.007933333333333348,64929,17217
250,0.020133333333333336,0.007133333333333325,76842,21403
300,0.018133333333333335,0.008266666666666644,81612,34170
350,0.017866666666666697,0.006333333333333302,66011,31204
400,0.012333333333333307,0.006399999999999961,90746,33318
450,0.013933333333333353,0.0036000000000000476,93252,49334
500,0.01206666666666667,0.0043333333333333,97349,49520
500,0.012666666666666715,0.0040000000000000036,89587,46608
600,0.010333333333333306,0.006466666666666621,101339,58254
700,0.008333333333333304,0.0031999999999999806,121385,81081
800,0.008000000000000007,0.0027333333333333654,112607,93638
900,0.007866666666666688,0.005666666666666709,129459,90460
1000,0.006333333333333302,0.0041999999999999815,122687,119265
10,0.26713333333333333,0.09806666666666664,34828,860
20,0.17259999999999998,0.1275333333333334,37789,2373
30,0.12846666666666662,0.03920000000000001,40453,2869
40,0.12226666666666663,0.031200000000000006,40522,3992
50,0.09486666666666665,0.036866666666666714,40479,5265
100,0.05700000000000005,0.023333333333333317,46495,9343
150,0.03386666666666671,0.01526666666666665,51668,12065
200,0.023466666666666636,0.0046000000000000485,56384,17273
250,0.024533333333333296,0.007333333333333303,62123,24624
300,0.015533333333333288,0.012933333333333352,75529,37748
350,0.014133333333333331,0.0023999999999999577,78355,34347
400,0.01200000000000001,0.007000000000000006,76794,39716
450,0.011600000000000055,0.006800000000000028,86109,45231
500,0.012800000000000034,0.005266666666666642,97901,54308
500,0.010600000000000054,0.007399999999999962,91051,65594
600,0.011800000000000033,0.005533333333333279,96724,68634
700,0.00886666666666669,0.0037333333333333663,104092,81543
800,0.008266666666666644,0.0020000000000000018,118041,96637
900,0.007800000000000029,0.005199999999999982,106459,99534
1000,0.008000000000000007,0.0030000000000000027,123592,115754
10,0.2835333333333333,0.13473333333333337,37086,1166
20,0.16286666666666672,0.0928,39533,2369
30,0.17346666666666666,0.05626666666666669,39365,3527
40,0.11973333333333336,0.06053333333333333,44872,4778
50,0.11253333333333337,0.03606666666666669,40489,4214
100,0.059599999999999986,0.013599999999999945,56462,8556
150,0.036599999999999966,0.01206666666666667,50630,16588
200,0.03653333333333331,0.008666666666666711,66597,20474
250,0.022533333333333294,0.009199999999999986,70595,28337
300,0.018000000000000016,0.0072666666666666435,67513,28881
350,0.014866666666666695,0.006066666666666665,81886,37767
400,0.013399999999999967,0.006800000000000028,71285,42832
450,0.013666666666666716,0.006266666666666643,82764,54720
500,0.012199999999999989,0.004933333333333345,100313,50700
500,0.011866666666666692,0.006399999999999961,91419,56283
600,0.008600000000000052,0.0027333333333333654,92376,70412
700,0.009266666666666645,0.004466666666666619,98809,73126
800,0.009066666666666667,0.0029333333333333433,125533,102314
900,0.008666666666666711,0.0027333333333333654,112661,109005
1000,0.007533333333333281,0.0031999999999999806,104506,112461
10,0.3244,0.19553333333333334,36178,1112
20,0.1956,0.08620000000000005,39034,2321
30,0.19986666666666664,0.060866666666666625,37903,2325
40,0.14146666666666663,0.04259999999999997,37458,3044
50,0.07266666666666666,0.04039999999999999,38892,4041
100,0.056599999999999984,0.012533333333333285,58152,9481
150,0.03726666666666667,0.016000000000000014,54022,17953
200,0.028000000000000025,0.007600000000000051,54902,20491
250,0.026133333333333342,0.008066666666666666,68553,26725
300,0.01853333333333329,0.008666666666666711,60265,26538
350,0.014333333333333309,0.008333333333333304,67807,30572
400,0.01319999999999999,0.003066666666666662,88253,36774
450,0.011666666666666714,0.0023999999999999577,80227,47245
500,0.013800000000000034,0.00326666666666664,89300,53306
500,0.01093333333333335,0.007000000000000006,87437,55236
600,0.011333333333333306,0.0050000000000000044,120321,66112
700,0.007800000000000029,0.004133333333333322,104364,71794
800,0.007800000000000029,0.0027333333333333654,100670,100335
900,0.007399999999999962,0.00326666666666664,112171,116362
1000,0.006399999999999961,0.0031333333333333213,113775,120246
10,0.27213333333333334,0.16700000000000004,35784,844
20,0.19746666666666668,0.06699999999999995,42814,3239
30,0.138,0.03986666666666672,42625,3474
40,0.08806666666666663,0.029200000000000004,40662,4761
50,0.10266666666666668,0.035599999999999965,42817,5755
100,0.057666666666666644,0.02080000000000004,49921,9570
150,0.030133333333333345,0.011066666666666669,61464,13874
200,0.025399999999999978,0.008333333333333304,56689,23462
250,0.026533333333333298,0.005133333333333323,73997,26372
300,0.017133333333333334,0.009533333333333283,63575,29962
350,0.016066666666666674,0.009600000000000053,76625,37244
400,0.014399999999999968,0.004933333333333345,80412,36173
450,0.013800000000000034,0.00546666666666662,100153,43149
500,0.012466666666666626,0.003866666666666685,72387,54624
500,0.011933333333333351,0.00986666666666669,93365,55480
600,0.012199999999999989,0.0035333333333333883,104469,66309
700,0.008466666666666622,0.0029333333333333433,131424,79841
800,0.008666666666666711,0.0019333333333333425,94202,79207
900,0.007600000000000051,0.0031999999999999806,106245,106391
1000,0.007000000000000006,0.0031333333333333213,120890,113238
10,0.24046666666666672,0.16273333333333329,34690,843
20,0.18253333333333333,0.051866666666666617,36861,2176
30,0.18313333333333337,0.023533333333333295,39578,2600
40,0.13839999999999997,0.02513333333333334,39792,4107
50,0.09940000000000004,0.06840000000000002,44638,5367
100,0.053266666666666684,0.015066666666666673,52435,8563
150,0.032399999999999984,0.01533333333333331,53872,15374
200,0.0305333333333333,0.015866666666666696,67417,20784
250,0.02293333333333336,0.011266666666666647,73643,26942
300,0.019466666666666632,0.005800000000000027,72486,30305
350,0.015866666666666696,0.007866666666666688,72973,36809
400,0.012866666666666693,0.003933333333333344,72434,36299
450,0.014133333333333331,0.004533333333333278,97736,50080
500,0.009733333333333372,0.003933333333333344,78653,61902
500,0.012333333333333307,0.0046000000000000485,113234,58020
600,0.009666666666666712,0.0029333333333333433,99977,64102
700,0.010266666666666646,0.003466666666666618,95903,73959
800,0.00880000000000003,0.0031333333333333213,124964,86295
900,0.006466666666666621,0.00326666666666664,133856,106163
1000,0.006333333333333302,0.0033333333333332993,102582,112918
