W: 60, PAA: 7, A: 8, S: exact
450,0.0018666666666666831,0.003866666666666685,99492,37037
500,0.0021999999999999797,0.0036000000000000476,109080,38542
500,0.0018000000000000238,0.004666666666666708,110965,35823
600,0.0010000000000000009,0.0013333333333332975,128417,44613
700,0.0014666666666666162,0.0028000000000000247,109962,56514
800,0.0016666666666667052,0.003066666666666662,140480,63029
900,0.002066666666666661,0.00326666666666664,132938,77790
1000,0.0013999999999999568,0.002266666666666639,136996,84950
10,0.018866666666666698,0.16279999999999994,34636,788
20,0.019066666666666676,0.051133333333333364,37370,1467
30,0.0037333333333333663,0.12726666666666664,44288,2712
40,0.0031999999999999806,0.10560000000000003,44939,2732
50,0.005199999999999982,0.03486666666666671,41779,3837
100,0.002666666666666706,0.017266666666666652,51364,7885
150,0.0021999999999999797,0.012466666666666626,53093,13782
200,0.002466666666666617,0.010266666666666646,101603,17623
250,0.0016000000000000458,0.00886666666666669,66399,18510
300,0.0030000000000000027,0.009399999999999964,70531,19581
350,0.0031333333333333213,0.006000000000000005,71515,26389
400,0.002866666666666684,0.009666666666666712,92764,35013
450,0.0023333333333332984,0.003666666666666707,89354,36075
500,0.0014666666666666162,0.002666666666666706,108181,42273
500,0.0013999999999999568,0.005666666666666709,93866,42760
600,0.0023999999999999577,0.00546666666666662,116216,40172
700,0.0020000000000000018,0.0037333333333333663,107802,56705
800,0.0023333333333332984,0.005266666666666642,138922,71323
900,0.0014666666666666162,0.0026000000000000467,163079,69606
1000,0.0020000000000000018,0.002466666666666617,146230,82805
10,0.029133333333333344,0.19966666666666666,34833,867
20,0.03193333333333337,0.10899999999999999,36662,1690
30,0.011733333333333373,0.04459999999999997,40568,2652
40,0.0074666666666666215,0.07546666666666668,50504,3093
50,0.005600000000000049,0.05346666666666666,47234,3928
100,0.00539999999999996,0.02406666666666668,50451,7452
150,0.0021999999999999797,0.01313333333333333,60038,11501
200,0.0023333333333332984,0.011466666666666625,61854,15603
250,0.00326666666666664,0.01093333333333335,70381,19519
300,0.0035333333333333883,0.005866666666666687,75885,20247
350,0.002866666666666684,0.005733333333333368,105450,27761
400,0.002066666666666661,0.004066666666666663,79277,32738
10,0.05500000000000005,0.3708,38057,1030
20,0.037933333333333374,0.11506666666666665,49022,2001
30,0.007199999999999984,0.05253333333333332,55615,3960
40,0.008199999999999985,0.03426666666666667,61072,4003
50,0.0030000000000000027,0.044266666666666676,62825,4013
100,0.0027333333333333654,0.025599999999999956,75525,9997
150,0.0029333333333333433,0.007800000000000029,94729,16070
200,0.0015333333333333865,0.00986666666666669,105115,18376
250,0.0013999999999999568,0.00653333333333328,112786,26178
300,0.0026000000000000467,0.011600000000000055,114912,26956
350,0.0016000000000000458,0.004266666666666641,145176,32879
400,0.0013333333333332975,0.0048000000000000265,115867,37744
450,0.0011999999999999789,0.005866666666666687,165626,47022
500,0.0018000000000000238,0.00326666666666664,144677,47739
500,0.0012666666666666382,0.004866666666666686,140061,49682
600,0.0010666666666666602,0.005666666666666709,157989,64634
700,0.002066666666666661,0.002266666666666639,162721,72540
800,0.0014666666666666162,0.0033333333333332993,180906,77331
900,0.0012666666666666382,0.0037333333333333663,184957,102422
1000,0.0012666666666666382,0.0031999999999999806,194477,119372
10,0.040066666666666695,0.20733333333333337,38529,1068
20,0.015066666666666673,0.06013333333333337,46230,2146
30,0.005800000000000027,0.05700000000000005,46945,3309
40,0.005800000000000027,0.054200000000000026,51472,3539
50,0.005333333333333301,0.03700000000000003,52021,4508
100,0.0038000000000000256,0.023599999999999954,90041,11258
150,0.0025333333333333874,0.015466666666666629,94481,17474
200,0.0031999999999999806,0.014733333333333376,107439,18768
250,0.00326666666666664,0.0076666666666667105,119014,30219
300,0.0029333333333333433,0.007866666666666688,119460,32348
350,0.0029333333333333433,0.0070666666666666655,126790,36555
400,0.0029333333333333433,0.0070666666666666655,154660,43266
450,0.0027333333333333654,0.005066666666666664,142921,48791
500,0.002266666666666639,0.005199999999999982,168071,50514
500,0.0029333333333333433,0.00880000000000003,162398,57170
600,0.0020000000000000018,0.007399999999999962,178105,62247
700,0.0016666666666667052,0.0031333333333333213,173742,89584
800,0.0018666666666666831,0.0030000000000000027,200760,91402
900,0.0020000000000000018,0.003466666666666618,210873,105091
1000,0.002066666666666661,0.0037333333333333663,185304,115174
10,0.054400000000000004,0.23306666666666664,41011,1002
20,0.02093333333333336,0.12246666666666661,47553,1423
30,0.008533333333333282,0.06999999999999995,47066,2557
40,0.0048000000000000265,0.0779333333333333,51617,3061
50,0.005133333333333323,0.04186666666666672,61923,4852
100,0.0037333333333333663,0.017000000000000015,72629,8784
150,0.0033999999999999586,0.011866666666666692,87702,15283
200,0.0043999999999999595,0.01213333333333333,102147,20986
250,0.0016666666666667052,0.0072666666666666435,136317,25837
300,0.002466666666666617,0.005866666666666687,97388,33803
350,0.0019333333333333425,0.007399999999999962,151022,36391
400,0.0010000000000000009,0.0029333333333333433,148219,40978
450,0.0021999999999999797,0.005066666666666664,143392,53231
500,0.0021999999999999797,0.005600000000000049,164662,56569
500,0.003066666666666662,0.005133333333333323,151761,54290
600,0.0016000000000000458,0.004666666666666708,157306,62707
700,0.002066666666666661,0.004133333333333322,165740,84060
800,0.0021999999999999797,0.0041999999999999815,182405,89220
900,0.002266666666666639,0.004266666666666641,178536,102543
1000,0.0018666666666666831,0.0028000000000000247,205736,121366
10,0.09566666666666668,0.12586666666666668,40997,901
20,0.013466666666666627,0.09773333333333334,45684,2210
30,0.013333333333333308,0.06559999999999999,49729,2826
40,0.008000000000000007,0.04093333333333338,65049,4823
50,0.006133333333333324,0.029000000000000026,68767,4888
100,0.003066666666666662,0.02059999999999995,75543,12826
150,0.004133333333333322,0.01733333333333331,94021,15429
200,0.0019333333333333425,0.005533333333333279,115741,22543
250,0.002066666666666661,0.006000000000000005,136303,27668
300,0.0041999999999999815,0.009133333333333327,132686,27102
350,0.0011999999999999789,0.00666666666666671,108040,40404
400,0.0030000000000000027,0.0027333333333333654,132504,46511
450,0.002666666666666706,0.006266666666666643,134242,55086
500,0.0016000000000000458,0.003066666666666662,141682,60419
500,0.0025333333333333874,0.00539999999999996,171510,59003
600,0.0014666666666666162,0.004666666666666708,196066,67441
700,0.0018666666666666831,0.007199999999999984,175954,82819
800,0.0013999999999999568,0.0038000000000000256,197933,96866
900,0.0029333333333333433,0.003933333333333344,199876,103471
1000,0.0026000000000000467,0.0027333333333333654,201154,126294
10,0.024533333333333296,0.13093333333333335,43973,1400
20,0.010399999999999965,0.16686666666666672,45218,3884
30,0.014399999999999968,0.0772666666666667,55117,3686
40,0.006733333333333369,0.04933333333333334,64366,4279
50,0.005866666666666687,0.05593333333333328,52621,7555
100,0.006266666666666643,0.024333333333333318,77325,9795
150,0.0023999999999999577,0.019066666666666676,79123,15404
200,0.003066666666666662,0.008000000000000007,90509,22099
250,0.002466666666666617,0.009333333333333305,97006,26243
300,0.0018000000000000238,0.008133333333333326,152735,30534
350,0.002066666666666661,0.0041999999999999815,129812,36136
400,0.003666666666666707,0.006000000000000005,122452,42728
450,0.0021999999999999797,0.006800000000000028,154548,51960
500,0.0018666666666666831,0.005533333333333279,138439,61185
500,0.003066666666666662,0.005199999999999982,168257,46422
600,0.0016666666666667052,0.0043333333333333,148681,57995
700,0.00326666666666664,0.008399999999999963,147416,85066
800,0.0020000000000000018,0.003666666666666707,173171,90208
900,0.0020000000000000018,0.0035333333333333883,173571,100776
1000,0.0016666666666667052,0.0038000000000000256,178962,111877
10,0.02959999999999996,0.11326666666666663,38991,947
20,0.0076666666666667105,0.10340000000000005,46203,1819
30,0.010199999999999987,0.0514,47514,2908
40,0.006133333333333324,0.06379999999999997,51007,4055
50,0.004533333333333278,0.050799999999999956,51532,5323
100,0.00326666666666664,0.030266666666666664,68542,9813
150,0.003866666666666685,0.0033999999999999586,83591,13988
200,0.0023333333333332984,0.01100000000000001,111514,19329
250,0.0025333333333333874,0.004266666666666641,102809,22263
300,0.0018000000000000238,0.007000000000000006,123984,29588
350,0.0014666666666666162,0.004866666666666686,123451,35967
400,0.0031999999999999806,0.0076666666666667105,134921,43327
450,0.0013333333333332975,0.00539999999999996,131425,43972
500,0.0027333333333333654,0.007000000000000006,141742,49475
500,0.0016666666666667052,0.002666666666666706,149973,49929
600,0.0013333333333332975,0.00546666666666662,172871,66720
