W: 60, PAA: 8, A: 7, S: exact
300,0.0013333333333332975,0.00886666666666669,156126,29163
350,9.333333333333416E-4,0.005266666666666642,168366,32493
400,0.0014666666666666162,0.00546666666666662,169384,38965
450,0.0015333333333333865,0.006199999999999983,167936,42657
500,0.0014666666666666162,0.005866666666666687,213956,48235
500,0.0013333333333332975,0.0043999999999999595,209929,53386
600,0.0013333333333332975,0.0035333333333333883,215426,72817
700,0.0012666666666666382,0.0038000000000000256,249170,68083
800,0.0014666666666666162,0.0023999999999999577,201352,83738
900,0.0013333333333332975,0.0031999999999999806,248999,94025
1000,0.0010000000000000009,0.0025333333333333874,287374,105601
10,0.04046666666666665,0.08306666666666662,42191,1208
20,0.02313333333333334,0.09866666666666668,50084,2244
30,0.016133333333333333,0.06253333333333333,56355,2614
40,0.0033999999999999586,0.027200000000000002,56723,4212
50,0.0036000000000000476,0.021466666666666634,59568,5048
100,0.0023333333333332984,0.013399999999999967,78144,12111
150,0.0016666666666667052,0.014399999999999968,85472,15664
200,0.0016666666666667052,0.013933333333333353,157231,19269
250,0.0014666666666666162,0.009466666666666623,135092,21812
300,0.0014666666666666162,0.007000000000000006,136537,28774
350,8.666666666666822E-4,0.0041999999999999815,167877,36499
400,0.0010000000000000009,0.007333333333333303,181737,31776
450,9.333333333333416E-4,0.007199999999999984,192777,41384
500,0.0013999999999999568,0.003866666666666685,185799,38343
500,0.0013999999999999568,0.004133333333333322,198251,48681
600,0.0013333333333332975,0.005600000000000049,227177,56493
700,0.0010666666666666602,0.003066666666666662,246266,66643
800,0.0016000000000000458,0.00326666666666664,243845,81486
900,0.0014666666666666162,0.002266666666666639,249493,89505
1000,0.0010000000000000009,0.0028000000000000247,252164,121845
10,0.05713333333333337,0.27959999999999996,41511,905
20,0.020533333333333292,0.1412,46005,1637
30,0.0076666666666667105,0.07306666666666661,51069,3318
40,0.0023333333333332984,0.05059999999999998,56104,4034
50,0.004466666666666619,0.04033333333333333,59174,5533
100,0.0023333333333332984,0.018133333333333335,76061,8342
150,0.0015333333333333865,0.008066666666666666,128926,10850
200,0.0018666666666666831,0.00773333333333337,113881,14908
250,0.0014666666666666162,0.005266666666666642,132757,26457
300,0.0013333333333332975,0.011066666666666669,149992,33000
350,0.0013333333333332975,0.006000000000000005,175281,39711
400,0.0015333333333333865,0.0031999999999999806,137363,31031
450,0.0011999999999999789,0.004266666666666641,145935,43461
500,0.0011999999999999789,0.00326666666666664,179071,39810
500,0.0013333333333332975,0.005533333333333279,200149,49803
600,0.0011999999999999789,0.003466666666666618,204295,42679
700,0.0013999999999999568,0.0038000000000000256,248523,69048
800,0.0011999999999999789,0.003933333333333344,234331,68835
900,0.002066666666666661,0.0031333333333333213,262708,87488
1000,0.0010000000000000009,0.0025333333333333874,267832,96505
10,0.07099999999999995,0.11286666666666667,41874,789
20,0.018199999999999994,0.12626666666666664,42724,1628
30,0.009733333333333372,0.05286666666666662,45448,2422
40,0.006066666666666665,0.03486666666666671,54138,3301
50,0.0033333333333332993,0.06753333333333333,57283,5543
100,0.0023999999999999577,0.016199999999999992,92538,5709
150,0.0018000000000000238,0.022266666666666657,109424,14528
200,0.0015333333333333865,0.01646666666666663,109294,16164
250,0.0014666666666666162,0.008666666666666711,140260,18207
300,0.0018666666666666831,0.011666666666666714,142063,29761
350,0.0013333333333332975,0.0033999999999999586,135037,33356
400,0.0015333333333333865,0.004533333333333278,161743,25041
450,0.0013999999999999568,0.005533333333333279,167160,38495
500,0.0016666666666667052,0.003666666666666707,196826,46742
500,0.0017333333333333645,0.0048000000000000265,178663,44935
600,0.0016000000000000458,0.0033999999999999586,174269,53828
700,0.0018000000000000238,0.0037333333333333663,228583,47991
800,0.0012666666666666382,0.0023999999999999577,248493,86950
900,0.0013333333333332975,0.005066666666666664,313583,81986
1000,0.0013333333333332975,0.0031333333333333213,265707,76178
10,0.04566666666666663,0.26759999999999995,39595,555
20,0.014333333333333309,0.06720000000000004,40914,1330
30,0.009000000000000008,0.06493333333333329,43093,2044
40,0.003933333333333344,0.04079999999999995,52763,3189
50,0.00546666666666662,0.036866666666666714,55859,4260
100,0.0018000000000000238,0.014666666666666717,82478,8216
150,9.333333333333416E-4,0.009533333333333283,92587,16386
200,0.0011333333333333195,0.010533333333333283,133207,20495
250,9.333333333333416E-4,0.014533333333333287,136929,25180
300,0.0016000000000000458,0.007600000000000051,154755,31280
350,8.666666666666822E-4,0.009466666666666623,158894,32477
400,8.000000000000229E-4,0.0040000000000000036,170634,32838
450,0.0010000000000000009,0.005866666666666687,173642,38465
500,6.666666666667043E-4,0.004266666666666641,173401,29717
500,6.000000000000449E-4,0.006066666666666665,198424,45341
600,0.0012666666666666382,0.0036000000000000476,207510,54084
700,0.0010000000000000009,0.003466666666666618,207461,65272
800,8.000000000000229E-4,0.0023999999999999577,235849,85298
900,6.000000000000449E-4,0.0025333333333333874,253337,54503
1000,0.0010666666666666602,0.003666666666666707,283457,93617
10,0.02859999999999996,0.17520000000000002,39353,755
20,0.03413333333333335,0.13693333333333335,43544,1638
30,0.008466666666666622,0.04086666666666672,48407,2448
40,0.006266666666666643,0.03986666666666672,51630,3039
50,0.005533333333333279,0.03606666666666669,55697,3862
100,0.0026000000000000467,0.013599999999999945,77862,7592
150,0.0013333333333332975,0.00539999999999996,75872,9714
200,0.002066666666666661,0.010600000000000054,95827,15187
250,0.0013333333333332975,0.007800000000000029,113540,24886
300,0.0016666666666667052,0.006133333333333324,149148,27194
350,0.0011999999999999789,0.0070666666666666655,184977,28644
400,0.0014666666666666162,0.003666666666666707,144616,33310
450,0.0012666666666666382,0.006199999999999983,176706,30713
500,8.666666666666822E-4,0.003666666666666707,175256,32933
500,9.333333333333416E-4,0.005133333333333323,198302,48706
600,0.0015333333333333865,0.004266666666666641,212579,51447
700,0.0020000000000000018,0.006199999999999983,229078,63864
800,0.0012666666666666382,0.0029333333333333433,241975,72951
900,0.0014666666666666162,0.002466666666666617,243404,81874
1000,0.0014666666666666162,0.0033333333333332993,256880,76426
