W: 60, PAA: 8, A: 7, S: exact
10,0.06026666666666669,0.33686666666666665,39600,968
20,0.012733333333333374,0.07546666666666668,50500,1823
30,0.006800000000000028,0.07233333333333336,60552,2919
40,0.010866666666666691,0.1111333333333333,63297,2513
50,0.0043999999999999595,0.05013333333333336,49503,3127
100,0.0015333333333333865,0.021199999999999997,81925,5740
150,0.0016666666666667052,0.007533333333333281,120440,13089
200,0.0011999999999999789,0.007399999999999962,117452,11709
250,0.0012666666666666382,0.008000000000000007,192638,21359
300,0.0011999999999999789,0.0070666666666666655,161007,29847
350,9.333333333333416E-4,0.005933333333333346,172834,34712
400,0.0011999999999999789,0.003066666666666662,200446,41487
450,0.0013333333333332975,0.005533333333333279,174429,52010
500,0.0018000000000000238,0.007133333333333325,202253,50167
500,0.0010666666666666602,0.0070666666666666655,193542,43550
600,0.0016666666666667052,0.0033333333333332993,205642,68580
700,0.0016000000000000458,0.004933333333333345,246272,69518
800,0.002066666666666661,0.0035333333333333883,243075,90736
900,0.0011999999999999789,0.003666666666666707,268823,97600
1000,0.0011333333333333195,0.0031333333333333213,280829,97182
10,0.04159999999999997,0.14006666666666667,45634,980
20,0.02533333333333332,0.06633333333333336,52815,1955
30,0.010199999999999987,0.1694,56888,3115
40,0.0031999999999999806,0.05279999999999996,70203,3592
50,0.0023999999999999577,0.02080000000000004,62766,4358
100,0.0011333333333333195,0.022733333333333383,106500,7540
150,0.0013333333333332975,0.010866666666666691,114339,16300
200,0.0014666666666666162,0.011066666666666669,127516,13898
250,0.0013999999999999568,0.005066666666666664,153847,25499
300,9.333333333333416E-4,0.008333333333333304,188937,28408
350,0.0013333333333332975,0.004666666666666708,165915,38032
400,9.333333333333416E-4,0.006333333333333302,195223,33615
450,0.0010666666666666602,0.005600000000000049,213578,45498
500,0.0010000000000000009,0.003066666666666662,178428,40864
500,0.0014666666666666162,0.007866666666666688,207788,52202
600,0.0012666666666666382,0.004866666666666686,220442,64862
700,0.0010000000000000009,0.0031333333333333213,221769,78828
800,0.0011333333333333195,0.004133333333333322,272084,84764
900,0.0010666666666666602,0.0023999999999999577,257171,101915
1000,0.0011333333333333195,0.0016666666666667052,326292,106043
10,0.08766666666666667,0.31166666666666665,44580,1107
20,0.007199999999999984,0.08273333333333333,50908,1908
30,0.004933333333333345,0.03720000000000001,57958,3220
40,0.004133333333333322,0.03286666666666671,67151,3673
50,0.004866666666666686,0.0984666666666667,73706,4615
100,0.0014666666666666162,0.027933333333333366,85676,9628
150,0.0011999999999999789,0.012866666666666693,119663,14186
200,0.0011999999999999789,0.013266666666666649,135189,16224
250,0.0018000000000000238,0.009333333333333305,172944,24444
300,9.333333333333416E-4,0.00880000000000003,149994,32216
350,0.0010666666666666602,0.005133333333333323,187418,33423
400,0.0011333333333333195,0.007533333333333281,215059,40280
450,0.0012666666666666382,0.00546666666666662,200235,40835
500,0.0011999999999999789,0.006000000000000005,209307,43914
500,0.0010000000000000009,0.0035333333333333883,200898,38505
600,0.0012666666666666382,0.0021333333333333204,241197,65180
700,0.0014666666666666162,0.0028000000000000247,249833,67523
800,0.0012666666666666382,0.003933333333333344,272393,96490
900,9.333333333333416E-4,0.0018666666666666831,274077,98198
1000,0.0010000000000000009,0.0043333333333333,286800,115436
10,0.07013333333333338,0.2676666666666667,42760,1127
20,0.061000000000000054,0.26546666666666663,50927,2162
30,0.01200000000000001,0.0869333333333333,55395,2893
40,0.010533333333333283,0.06566666666666665,70575,2126
50,0.0037333333333333663,0.024466666666666637,70321,6123
100,0.0016000000000000458,0.015066666666666673,94964,9856
150,0.0014666666666666162,0.01959999999999995,124319,12410
200,0.0016666666666667052,0.0072666666666666435,128212,20908
250,0.0010000000000000009,0.011133333333333328,137009,24101
300,0.0011333333333333195,0.006199999999999983,145205,34684
350,0.0013999999999999568,0.007000000000000006,178969,39087
400,0.0013999999999999568,0.006066666666666665,214644,39876
450,0.0013333333333332975,0.0035333333333333883,170062,45064
500,0.0012666666666666382,0.0040000000000000036,198679,50968
500,0.0014666666666666162,0.007399999999999962,229554,59587
600,0.0013999999999999568,0.005533333333333279,238736,64518
700,0.0010666666666666602,0.004066666666666663,236293,78513
800,0.0018000000000000238,0.0035333333333333883,230064,96452
900,0.0013333333333332975,0.0033333333333332993,274073,105171
1000,0.0014666666666666162,0.0033333333333332993,255987,110500
10,0.2743333333333333,0.3294,44383,910
20,0.013066666666666671,0.14513333333333334,46976,1654
30,0.005666666666666709,0.040133333333333354,50795,2574
40,0.004533333333333278,0.049866666666666615,53963,2859
50,0.004933333333333345,0.03600000000000003,63803,4442
100,0.0017333333333333645,0.022266666666666657,89814,8994
150,0.0018666666666666831,0.020333333333333314,112678,15351
200,0.0013999999999999568,0.00993333333333335,128585,14304
250,0.0014666666666666162,0.005666666666666709,156702,23126
