W: 60, PAA: 7, A: 7, S: classic
10,0.2573333333333333,0.09640000000000004,33704,850
20,0.20886666666666664,0.1598666666666667,35454,1566
30,0.12160000000000004,0.09973333333333334,35073,2082
40,0.09040000000000004,0.053200000000000025,39197,4210
50,0.06559999999999999,0.026599999999999957,38375,3635
100,0.04966666666666664,0.019333333333333313,43362,6888
150,0.030933333333333368,0.014933333333333354,47981,14729
200,0.02080000000000004,0.007600000000000051,54770,14465
250,0.01853333333333329,0.0043333333333333,53924,22229
300,0.012666666666666715,0.0076666666666667105,62738,27342
350,0.01319999999999999,0.003933333333333344,62895,34360
400,0.010466666666666624,0.004666666666666708,67585,34504
450,0.011466666666666625,0.0033999999999999586,58593,47956
500,0.009733333333333372,0.006399999999999961,78333,48103
500,0.00993333333333335,0.0048000000000000265,73409,48560
600,0.008666666666666711,0.005266666666666642,68932,59543
700,0.008333333333333304,0.00326666666666664,79198,81080
800,0.006466666666666621,0.0023999999999999577,89000,93596
900,0.008133333333333326,0.0033999999999999586,85122,88507
1000,0.006333333333333302,0.0033999999999999586,77396,110829
10,0.24019999999999997,0.19446666666666668,34599,1024
20,0.16793333333333338,0.12493333333333334,39161,3046
30,0.1061333333333333,0.05593333333333328,40699,4142
40,0.10899999999999999,0.06586666666666663,41929,4731
50,0.10053333333333336,0.037666666666666626,42516,4612
100,0.03700000000000003,0.024333333333333318,44728,7857
150,0.02726666666666666,0.012800000000000034,47212,15009
200,0.021533333333333293,0.016066666666666674,51061,19999
250,0.021333333333333315,0.005933333333333346,53249,23719
300,0.01419999999999999,0.006866666666666688,56930,33775
350,0.010533333333333283,0.00993333333333335,57770,34302
400,0.012866666666666693,0.004266666666666641,66140,37595
450,0.011533333333333284,0.006466666666666621,67689,54844
500,0.010533333333333283,0.0036000000000000476,70311,57450
500,0.00886666666666669,0.003066666666666662,68804,52661
600,0.008466666666666622,0.004866666666666686,68656,62872
700,0.008600000000000052,0.003933333333333344,73201,79215
800,0.006199999999999983,0.002666666666666706,73046,78228
10,0.33140000000000003,0.2784,33678,1060
20,0.18879999999999997,0.06479999999999997,35301,1904
30,0.1518666666666667,0.057533333333333325,36088,2774
40,0.09119999999999995,0.041133333333333355,38568,3419
50,0.08873333333333333,0.02833333333333332,42763,5619
100,0.036866666666666714,0.01873333333333338,48697,9929
150,0.03759999999999997,0.011800000000000033,54075,14435
200,0.023399999999999976,0.006866666666666688,51520,18271
250,0.01633333333333331,0.010466666666666624,65426,24990
300,0.015199999999999991,0.010466666666666624,55063,28106
350,0.014933333333333354,0.0074666666666666215,53968,37148
400,0.01200000000000001,0.00880000000000003,68494,47024
450,0.009733333333333372,0.0038000000000000256,72880,49999
500,0.011733333333333373,0.004266666666666641,58466,47887
500,0.012199999999999989,0.003066666666666662,63387,56364
600,0.009733333333333372,0.0040000000000000036,79072,66140
700,0.008333333333333304,0.004933333333333345,79154,78356
800,0.008000000000000007,0.003866666666666685,80685,93252
900,0.007933333333333348,0.0028000000000000247,96040,105438
1000,0.008666666666666711,0.0030000000000000027,85955,119116
