W: 60, PAA: 8, A: 8, S: exact
10,0.08386666666666664,0.0577333333333333,44295,857
20,0.030466666666666642,0.08813333333333329,48810,1916
30,0.01646666666666663,0.03326666666666667,54029,2757
40,0.010666666666666713,0.0460666666666667,54749,3423
50,0.007800000000000029,0.03273333333333328,60581,4305
100,0.003866666666666685,0.02513333333333334,87408,8131
150,0.004133333333333322,0.010399999999999965,88937,11281
200,0.0011333333333333195,0.008399999999999963,109767,14877
250,0.0019333333333333425,0.005666666666666709,139247,20282
300,0.0021999999999999797,0.006333333333333302,191359,26650
350,0.0013999999999999568,0.009800000000000031,158130,25110
400,0.0011333333333333195,0.004666666666666708,186390,34975
450,0.0016666666666667052,0.00666666666666671,201933,37412
500,0.0015333333333333865,0.008066666666666666,201837,40876
500,0.002266666666666639,0.0072666666666666435,202708,36359
600,0.0011333333333333195,0.005266666666666642,241094,44988
700,0.0013333333333332975,0.003866666666666685,250166,54882
800,0.0013333333333332975,0.002666666666666706,252985,65185
900,0.0018000000000000238,0.0033999999999999586,303228,70852
1000,0.0013999999999999568,0.002666666666666706,323721,77482
10,0.07740000000000002,0.14293333333333336,40217,800
20,0.033399999999999985,0.04420000000000002,52479,1695
30,0.02646666666666664,0.0796,48081,2366
40,0.00886666666666669,0.045466666666666655,48949,2845
50,0.009466666666666623,0.031133333333333346,52962,3658
100,0.005066666666666664,0.017266666666666652,84344,7372
150,0.0027333333333333654,0.00880000000000003,113456,11028
200,0.0029333333333333433,0.009533333333333283,131496,16871
250,0.002866666666666684,0.012333333333333307,125387,19187
300,0.0018666666666666831,0.006333333333333302,151634,22764
350,0.0033333333333332993,0.009399999999999964,172796,27788
400,0.0021999999999999797,0.005533333333333279,195989,33494
450,0.0018000000000000238,0.005866666666666687,196507,37401
500,0.0028000000000000247,0.004733333333333367,198802,39233
500,0.0015333333333333865,0.0043999999999999595,209163,42130
600,0.002066666666666661,0.004666666666666708,224126,50329
700,0.0018000000000000238,0.002666666666666706,221989,56360
800,0.0012666666666666382,0.004066666666666663,273902,71511
900,0.0012666666666666382,0.0029333333333333433,320964,71210
1000,0.0015333333333333865,0.004666666666666708,329437,79388
10,0.06746666666666667,0.15326666666666666,43194,896
20,0.03606666666666669,0.14166666666666672,46473,1442
30,0.010466666666666624,0.08520000000000005,46020,2543
40,0.009600000000000053,0.07606666666666662,48691,2833
50,0.008600000000000052,0.050866666666666616,49543,3788
100,0.0030000000000000027,0.023533333333333295,67796,8221
150,0.002866666666666684,0.015599999999999947,99171,13893
200,0.002666666666666706,0.0048000000000000265,109936,16215
250,0.0017333333333333645,0.00660000000000005,103835,21006
300,0.002866666666666684,0.006399999999999961,163840,24231
350,0.0018666666666666831,0.011133333333333328,167952,27924
400,0.002466666666666617,0.005666666666666709,166900,31078
450,0.0011333333333333195,0.006199999999999983,193614,32690
500,0.0017333333333333645,0.003666666666666707,228667,34573
500,0.0021999999999999797,0.005333333333333301,168222,39809
600,0.0016666666666667052,0.004866666666666686,231742,41932
700,0.0018000000000000238,0.0035333333333333883,269652,61035
