W: 60, PAA: 7, A: 7, S: exact
10,0.05466666666666664,0.30266666666666664,36723,736
20,0.010466666666666624,0.11326666666666663,41890,1762
30,0.004733333333333367,0.027599999999999958,45365,2217
40,0.0035333333333333883,0.03313333333333335,50188,3066
50,0.0014666666666666162,0.038000000000000034,47744,4349
100,0.0033333333333332993,0.041266666666666674,67437,8411
150,8.000000000000229E-4,0.004733333333333367,69968,12587
200,0.0013999999999999568,0.009333333333333305,68912,16756
250,0.0010000000000000009,0.009066666666666667,66182,21730
300,0.0013999999999999568,0.005933333333333346,85603,30099
350,0.0011999999999999789,0.007333333333333303,92565,32066
400,0.0010000000000000009,0.0050000000000000044,106704,42014
450,0.0011333333333333195,0.0046000000000000485,99317,42624
500,0.0011999999999999789,0.00539999999999996,88476,50476
500,0.0010666666666666602,0.006133333333333324,90099,55691
600,0.0013333333333332975,0.005600000000000049,117496,61890
700,0.0010000000000000009,0.0028000000000000247,101827,71257
800,0.0012666666666666382,0.003466666666666618,121310,80905
900,0.0011333333333333195,0.00326666666666664,129790,105846
1000,0.0021999999999999797,0.00326666666666664,129674,106077
10,0.027733333333333388,0.2141333333333333,38597,1124
20,0.005800000000000027,0.12086666666666668,43009,3042
30,0.008600000000000052,0.09706666666666663,47009,2885
40,0.004866666666666686,0.032466666666666644,48297,3876
50,0.0037333333333333663,0.05813333333333337,51329,4860
100,0.0023333333333332984,0.018399999999999972,65117,12386
150,0.0017333333333333645,0.01093333333333335,70172,16346
200,0.0018000000000000238,0.013466666666666627,71979,24839
250,0.0014666666666666162,0.0076666666666667105,83745,22588
300,0.002066666666666661,0.006066666666666665,90675,25522
350,0.0014666666666666162,0.0037333333333333663,84873,33762
400,0.0016666666666667052,0.0070666666666666655,90630,38083
450,0.0016666666666667052,0.00666666666666671,89858,43899
10,0.014066666666666672,0.07333333333333336,38769,1049
20,0.009266666666666645,0.06000000000000005,40096,1889
30,0.006733333333333369,0.04173333333333329,43306,2893
40,0.005733333333333368,0.04059999999999997,48262,4059
50,0.003866666666666685,0.026733333333333387,46278,5343
100,0.0025333333333333874,0.018866666666666698,81789,8567
150,0.0012666666666666382,0.011133333333333328,80731,13011
200,0.0013333333333332975,0.00886666666666669,71845,16574
250,0.0011999999999999789,0.01093333333333335,112628,27053
300,0.0012666666666666382,0.006199999999999983,101511,27890
350,0.0018666666666666831,0.005800000000000027,99461,32854
400,0.0010666666666666602,0.0031333333333333213,85792,38253
450,9.333333333333416E-4,0.003666666666666707,105831,42934
500,0.0015333333333333865,0.004666666666666708,99334,48423
500,8.666666666666822E-4,0.002866666666666684,133824,54202
600,0.0013333333333332975,0.0037333333333333663,140505,63998
700,0.0013999999999999568,0.0037333333333333663,116246,77046
800,0.0013333333333332975,0.0028000000000000247,135961,90035
900,0.0019333333333333425,0.0028000000000000247,128295,101197
1000,0.0013333333333332975,0.0016666666666667052,134378,117961
10,0.05120000000000002,0.17113333333333336,39070,1031
20,0.00773333333333337,0.12560000000000004,45820,2420
30,0.015000000000000013,0.0494,45786,3017
40,0.005266666666666642,0.021066666666666678,55169,4175
50,0.0023333333333332984,0.032466666666666644,55019,4792
100,0.0019333333333333425,0.013599999999999945,69727,8610
150,8.000000000000229E-4,0.010000000000000009,87505,14781
200,0.0011999999999999789,0.006800000000000028,77144,19795
250,0.0015333333333333865,0.009333333333333305,103772,23926
300,0.0018666666666666831,0.0043333333333333,84120,29644
350,0.0011999999999999789,0.004133333333333322,99251,36926
400,0.0015333333333333865,0.0043333333333333,95330,41710
450,0.0015333333333333865,0.00326666666666664,119283,46293
500,0.0012666666666666382,0.003066666666666662,104155,53642
500,0.0010666666666666602,0.004533333333333278,111801,49998
600,0.0013999999999999568,0.0050000000000000044,121247,70485
700,0.0011999999999999789,0.0036000000000000476,132526,84514
800,0.0011999999999999789,0.00326666666666664,137760,103404
900,0.0017333333333333645,0.002266666666666639,156857,96858
1000,0.0012666666666666382,0.003866666666666685,130070,116182
10,0.12960000000000005,0.22853333333333337,39867,991
20,0.005866666666666687,0.07633333333333336,43822,1759
30,0.004733333333333367,0.02833333333333332,44329,2539
40,0.0021333333333333204,0.0884666666666667,48033,4133
50,0.002866666666666684,0.05553333333333332,49004,4809
100,0.0010666666666666602,0.013666666666666716,69569,10670
150,9.333333333333416E-4,0.012266666666666648,98949,15262
200,5.333333333333856E-4,0.010866666666666691,98265,20780
250,5.333333333333856E-4,0.005199999999999982,92160,26150
300,0.0013999999999999568,0.01533333333333331,100189,29916
350,7.333333333333636E-4,0.0043999999999999595,108570,39966
400,8.666666666666822E-4,0.0050000000000000044,99953,39151
450,0.0011333333333333195,0.0037333333333333663,118707,47678
500,8.000000000000229E-4,0.004466666666666619,110743,54668
500,0.0018000000000000238,0.00873333333333337,119951,51869
600,0.0013999999999999568,0.004066666666666663,106812,72582
700,6.000000000000449E-4,0.005933333333333346,119141,85130
800,7.333333333333636E-4,0.0028000000000000247,122090,99749
900,0.0012666666666666382,0.0029333333333333433,131411,100072
1000,0.0010000000000000009,0.0029333333333333433,155693,117124
10,0.015599999999999947,0.1522,38912,874
20,0.022199999999999998,0.045399999999999996,46787,2300
30,0.0038000000000000256,0.05706666666666671,55462,3332
40,0.0031999999999999806,0.02839999999999998,47009,3520
50,0.0025333333333333874,0.036866666666666714,54981,5421
100,0.0017333333333333645,0.017933333333333357,61620,11032
150,0.0015333333333333865,0.009266666666666645,79774,13992
200,0.0013333333333332975,0.01533333333333331,70516,20675
250,0.0012666666666666382,0.005266666666666642,98243,25727
300,0.0016000000000000458,0.005866666666666687,82567,33645
350,0.0013333333333332975,0.005533333333333279,99495,37346
400,0.0011999999999999789,0.0036000000000000476,94942,42643
450,0.0014666666666666162,0.005133333333333323,111430,53184
500,0.0010666666666666602,0.003466666666666618,119359,57485
500,0.0014666666666666162,0.0050000000000000044,118800,57108
600,0.0011333333333333195,0.006066666666666665,109211,66020
700,0.0016000000000000458,0.0043333333333333,128470,89848
800,0.0016666666666667052,0.0050000000000000044,150698,100372
900,0.0017333333333333645,0.0033999999999999586,142364,107397
1000,0.0011333333333333195,0.0017333333333333645,138995,114418
10,0.014133333333333331,0.11273333333333335,40040,936
20,0.005133333333333323,0.08653333333333335,43177,2792
30,0.005800000000000027,0.054266666666666685,44191,2630
40,0.0033999999999999586,0.06999999999999995,42439,3631
50,0.0027333333333333654,0.04200000000000004,51121,4935
100,0.002866666666666684,0.01633333333333331,68860,9595
150,0.0016666666666667052,0.009399999999999964,83836,18048
200,0.0020000000000000018,0.013533333333333286,92713,18603
250,0.0010666666666666602,0.006800000000000028,94515,26464
300,9.333333333333416E-4,0.006133333333333324,97654,33516
350,0.0014666666666666162,0.006066666666666665,97875,34491
400,8.666666666666822E-4,0.011533333333333284,94655,45534
450,8.666666666666822E-4,0.00539999999999996,97655,52726
500,0.0012666666666666382,0.006333333333333302,101582,52918
500,7.333333333333636E-4,0.0037333333333333663,113590,50450
600,9.333333333333416E-4,0.0033333333333332993,126071,75011
700,0.0016666666666667052,0.0033333333333332993,135653,75916
800,6.666666666667043E-4,0.0025333333333333874,141421,79432
900,0.0013333333333332975,0.002266666666666639,136095,113647
1000,0.0011999999999999789,0.0020000000000000018,147987,109843
10,0.10799999999999998,0.11739999999999995,43266,1149
20,0.014800000000000035,0.07879999999999998,41913,1945
30,0.004533333333333278,0.09133333333333338,48286,2713
40,0.009666666666666712,0.0682666666666667,48848,4363
50,0.004266666666666641,0.0494,51751,4751
100,0.0021333333333333204,0.01426666666666665,64693,10026
150,0.0016666666666667052,0.012333333333333307,64941,14281
200,8.000000000000229E-4,0.009666666666666712,83856,20086
250,0.0012666666666666382,0.006133333333333324,86788,27595
300,0.0014666666666666162,0.010066666666666668,113463,31039
350,0.0014666666666666162,0.006133333333333324,102015,34440
400,0.0011333333333333195,0.006199999999999983,112913,40382
450,0.0012666666666666382,0.0043999999999999595,115670,48184
500,0.0015333333333333865,0.005199999999999982,98514,52913
500,0.0011333333333333195,0.0048000000000000265,115592,53458
600,0.0023999999999999577,0.003066666666666662,131790,71553
700,0.0015333333333333865,0.003866666666666685,130367,83432
800,0.0018000000000000238,0.005066666666666664,117274,97979
900,0.0013333333333332975,0.004133333333333322,133658,97877
1000,0.0027333333333333654,0.002866666666666684,136036,108626
10,0.02739999999999998,0.2715333333333333,40447,943
20,0.012866666666666693,0.11473333333333335,45340,2499
30,0.006066666666666665,0.061000000000000054,46878,3203
