W: 60, PAA: 7, A: 7, S: exact
40,0.0036000000000000476,0.04033333333333333,50441,3525
50,0.0020000000000000018,0.04066666666666663,52167,4524
100,0.0015333333333333865,0.011933333333333351,87838,9987
150,0.0019333333333333425,0.016933333333333356,79032,14776
200,0.0012666666666666382,0.012800000000000034,73603,16641
250,7.333333333333636E-4,0.007866666666666688,98718,21111
300,0.0019333333333333425,0.009133333333333327,80463,29621
350,0.0013999999999999568,0.0043333333333333,92106,36604
400,0.0014666666666666162,0.005066666666666664,107465,39405
450,0.0015333333333333865,0.003666666666666707,103563,49030
500,0.0019333333333333425,0.005199999999999982,111563,53874
500,0.0012666666666666382,0.0043999999999999595,107846,56755
600,0.0016666666666667052,0.004533333333333278,131214,70184
700,0.0016666666666667052,0.0031333333333333213,122216,76402
800,0.0016000000000000458,0.0023333333333332984,131272,88968
900,0.0011333333333333195,0.0033333333333332993,139932,112738
1000,0.002866666666666684,0.002866666666666684,124708,116906
10,0.01653333333333329,0.17093333333333338,38017,1239
20,0.00886666666666669,0.052066666666666706,42783,1889
30,0.005133333333333323,0.03833333333333333,45094,2947
40,0.005866666666666687,0.06533333333333335,48243,4819
50,0.0035333333333333883,0.023599999999999954,50242,5128
100,0.0014666666666666162,0.013933333333333353,62883,9342
150,0.0010000000000000009,0.0074666666666666215,72067,15131
200,0.0020000000000000018,0.015000000000000013,64592,19974
250,0.0012666666666666382,0.011333333333333306,82872,29086
300,0.0016000000000000458,0.007600000000000051,86169,28878
350,0.0015333333333333865,0.011666666666666714,102149,35846
400,0.0017333333333333645,0.004533333333333278,118361,42066
450,0.0015333333333333865,0.004133333333333322,111336,51936
500,0.0013999999999999568,0.005266666666666642,124995,55677
500,0.002466666666666617,0.0070666666666666655,114172,50816
600,0.0015333333333333865,0.003866666666666685,115579,68663
700,0.0019333333333333425,0.004866666666666686,124105,79573
800,0.002066666666666661,0.0031333333333333213,117049,82018
900,8.666666666666822E-4,0.0026000000000000467,127441,96716
1000,0.002266666666666639,0.003066666666666662,116535,103902
10,0.024399999999999977,0.2511333333333333,36374,907
20,0.02180000000000004,0.2682,38758,1898
30,0.004533333333333278,0.08579999999999999,45626,2995
40,0.003466666666666618,0.03939999999999999,47878,4476
50,0.0026000000000000467,0.04053333333333331,52702,5226
100,0.0010000000000000009,0.018066666666666675,73586,9195
150,0.0010000000000000009,0.01100000000000001,68913,15544
200,0.0011333333333333195,0.011800000000000033,79838,19436
250,0.0014666666666666162,0.009733333333333372,71461,26270
300,3.9999999999995595E-4,0.004466666666666619,100576,32269
350,7.333333333333636E-4,0.008133333333333326,101459,36668
400,0.0011999999999999789,0.007800000000000029,109061,38621
450,0.0012666666666666382,0.006800000000000028,110416,46538
500,8.666666666666822E-4,0.005600000000000049,93022,49345
500,8.666666666666822E-4,0.0043999999999999595,108684,49831
600,6.666666666667043E-4,0.0037333333333333663,90301,62187
700,0.0023333333333332984,0.004533333333333278,124331,77877
800,0.0018666666666666831,0.0035333333333333883,149313,96831
900,0.0014666666666666162,0.0016000000000000458,137890,102621
1000,0.0013333333333332975,0.0016000000000000458,120563,107496
10,0.01206666666666667,0.10966666666666669,38644,988
20,0.040000000000000036,0.11473333333333335,41683,1977
30,0.008333333333333304,0.09653333333333336,44843,2826
40,0.005933333333333346,0.0275333333333333,45803,3978
50,0.0018000000000000238,0.040000000000000036,48013,4847
100,0.0016000000000000458,0.027599999999999958,66994,9282
150,0.0018000000000000238,0.0070666666666666655,65246,13237
200,0.0019333333333333425,0.01633333333333331,67639,21393
250,0.0011333333333333195,0.0072666666666666435,83597,24392
300,0.0016000000000000458,0.006866666666666688,88089,30595
350,0.0010000000000000009,0.003933333333333344,95499,37603
400,0.0015333333333333865,0.00660000000000005,101363,40055
450,0.0016666666666667052,0.005199999999999982,92587,42883
500,0.0014666666666666162,0.006000000000000005,106639,49192
500,0.0018666666666666831,0.006333333333333302,92790,49680
600,0.0011333333333333195,0.0035333333333333883,104681,58838
700,9.333333333333416E-4,0.0043333333333333,109669,70962
800,6.000000000000449E-4,0.0033333333333332993,120626,81222
900,0.0017333333333333645,0.003933333333333344,116925,97005
1000,0.0018666666666666831,0.0033333333333332993,137756,107311
