W: 60, PAA: 7, A: 8, S: classic
10,0.26160000000000005,0.06273333333333331,34432,878
20,0.15093333333333336,0.07566666666666666,35957,1779
30,0.1425333333333333,0.10566666666666669,38117,2698
40,0.11486666666666667,0.028933333333333366,37179,3281
50,0.0839333333333333,0.03513333333333335,40544,4594
100,0.06693333333333329,0.01533333333333331,45706,7793
150,0.03953333333333331,0.0070666666666666655,55700,13441
200,0.025866666666666704,0.013866666666666694,54249,15951
250,0.021266666666666656,0.007199999999999984,51495,17662
300,0.01973333333333338,0.006466666666666621,55708,23494
350,0.013266666666666649,0.005066666666666664,86658,26874
400,0.012866666666666693,0.0043999999999999595,60839,31504
450,0.014399999999999968,0.004733333333333367,62138,38211
500,0.011533333333333284,0.003666666666666707,60092,41723
500,0.01100000000000001,0.00653333333333328,56707,39054
600,0.010466666666666624,0.0040000000000000036,68343,57881
700,0.01093333333333335,0.003666666666666707,76693,55949
800,0.0072666666666666435,0.003866666666666685,84038,75355
900,0.00886666666666669,0.004466666666666619,80150,73589
1000,0.008199999999999985,0.003066666666666662,113105,87309
10,0.242,0.11226666666666663,32225,834
20,0.15913333333333335,0.07186666666666663,32772,1514
30,0.14300000000000002,0.12673333333333336,34567,2401
40,0.11560000000000004,0.04693333333333338,35525,3148
50,0.10619999999999996,0.029133333333333344,35561,3889
100,0.05800000000000005,0.01953333333333329,39318,7942
150,0.03973333333333329,0.015133333333333332,41891,12062
200,0.029866666666666708,0.009666666666666712,43472,16547
250,0.0218666666666667,0.008000000000000007,57306,18859
300,0.020066666666666677,0.005666666666666709,58495,23633
350,0.016066666666666674,0.00666666666666671,51283,28917
400,0.014866666666666695,0.0036000000000000476,49950,30378
450,0.01213333333333333,0.00539999999999996,75177,34496
500,0.009600000000000053,0.005533333333333279,63828,38740
500,0.01206666666666667,0.00886666666666669,54291,37563
600,0.010600000000000054,0.0048000000000000265,65699,45679
700,0.008133333333333326,0.0035333333333333883,66041,55471
800,0.007533333333333281,0.003866666666666685,69918,58864
900,0.008199999999999985,0.0023333333333332984,79344,70586
1000,0.007199999999999984,0.0027333333333333654,79328,79362
10,0.30920000000000003,0.3831333333333333,31700,810
20,0.1572,0.10060000000000002,34409,1626
30,0.14126666666666665,0.11946666666666672,33552,2384
40,0.11346666666666672,0.056333333333333346,33998,3052
50,0.10640000000000005,0.04493333333333338,35146,3488
100,0.049933333333333385,0.013466666666666627,49722,8118
150,0.02739999999999998,0.014933333333333354,50734,11181
200,0.025466666666666637,0.006800000000000028,45579,15740
250,0.022133333333333338,0.008666666666666711,48613,18932
300,0.017800000000000038,0.005733333333333368,48827,21953
350,0.014466666666666628,0.007866666666666688,52990,27355
400,0.012266666666666648,0.0043333333333333,52368,30041
450,0.010666666666666713,0.005266666666666642,63154,33579
500,0.012733333333333374,0.009133333333333327,55252,35095
500,0.010600000000000054,0.004066666666666663,69894,37471
600,0.009266666666666645,0.003466666666666618,59446,46450
700,0.008333333333333304,0.005266666666666642,77862,63362
800,0.007199999999999984,0.0029333333333333433,67359,63100
900,0.007399999999999962,0.0030000000000000027,97816,71197
1000,0.006466666666666621,0.002866666666666684,96531,83085
10,0.23440000000000005,0.15093333333333336,31748,757
20,0.1684,0.09486666666666665,32842,1512
30,0.1403333333333333,0.12346666666666661,34069,2217
40,0.12260000000000004,0.052000000000000046,35263,3049
50,0.1028,0.059799999999999964,36086,4020
100,0.05233333333333334,0.02739999999999998,41381,8032
150,0.03413333333333335,0.021599999999999953,39684,10242
200,0.025866666666666704,0.009333333333333305,43138,14007
250,0.023266666666666658,0.009266666666666645,45903,17729
300,0.020466666666666633,0.008133333333333326,66187,20590
350,0.01526666666666665,0.006133333333333324,59404,28834
400,0.01419999999999999,0.003666666666666707,53505,31195
450,0.010199999999999987,0.006000000000000005,54072,33038
500,0.013066666666666671,0.003666666666666707,56982,38484
500,0.011666666666666714,0.005866666666666687,66054,39385
