# W: 60, PAA: 8, A: 7, S: noreduction
10,0.01776666666666671,0.07156666666666667,94700,2607
50,0.002766666666666695,0.038866666666666716,119377,11651
125,4.6666666666661527E-4,0.007633333333333381,153375,33184
250,7.333333333333636E-4,0.0012333333333333085,205988,68960
500,4.6666666666661527E-4,0.0020000000000000018,255359,163008
750,2.3333333333330764E-4,1.3333333333331865E-4,338068,273245
1000,3.333333333332966E-4,2.3333333333330764E-4,429463,293105
10,0.019233333333333325,0.057566666666666655,92836,2832
50,0.0013666666666666272,0.017933333333333357,116748,13852
125,6.666666666667043E-4,0.0039000000000000146,144424,38313
250,4.999999999999449E-4,0.0026000000000000467,197887,64435
500,2.666666666666373E-4,9.333333333333416E-4,263019,155441
750,2.3333333333330764E-4,4.6666666666661527E-4,357025,214533
1000,2.9999999999996696E-4,2.666666666666373E-4,373329,314988
10,0.01756666666666662,0.13480000000000003,95482,2345
50,0.0011666666666666492,0.011600000000000055,120083,14971
125,0.0011999999999999789,0.005933333333333346,149043,38622
250,9.000000000000119E-4,0.0017666666666666941,205475,63705
500,3.666666666666263E-4,7.000000000000339E-4,273126,136722
750,4.333333333332856E-4,6.000000000000449E-4,373390,233671
1000,4.333333333332856E-4,3.9999999999995595E-4,424920,298909
10,0.013633333333333386,0.07169999999999999,96292,2827
50,0.0034333333333332883,0.0396333333333333,116010,13215
125,8.333333333333526E-4,0.0028000000000000247,157464,32881
250,6.666666666667043E-4,0.002866666666666684,213566,62602
500,2.9999999999996696E-4,0.0010333333333333306,267377,139432
750,2.3333333333330764E-4,2.3333333333330764E-4,354009,208407
1000,2.3333333333330764E-4,3.666666666666263E-4,397744,262050
10,0.022433333333333305,0.1058,86423,2220
50,0.0012333333333333085,0.015633333333333388,114221,11531
125,0.0010000000000000009,0.010700000000000043,147638,41085
250,3.9999999999995595E-4,0.004066666666666663,193021,62079
500,3.9999999999995595E-4,7.666666666666933E-4,282434,128206
750,2.666666666666373E-4,2.666666666666373E-4,360471,199813
1000,4.999999999999449E-4,3.333333333332966E-4,432903,279838
10,0.010433333333333294,0.11060000000000003,88203,2443
50,0.0016666666666667052,0.01873333333333338,113180,14529
125,6.666666666667043E-4,0.0046000000000000485,150341,32735
250,5.333333333333856E-4,0.0016333333333333755,207031,64413
500,2.3333333333330764E-4,8.333333333333526E-4,275552,136699
750,3.333333333332966E-4,1.3333333333331865E-4,355132,215342
1000,2.666666666666373E-4,2.9999999999996696E-4,356517,262549
10,0.009666666666666712,0.08250000000000002,89184,2428
50,0.0014333333333332865,0.019499999999999962,114802,13089
125,9.000000000000119E-4,0.00436666666666663,149055,34467
250,6.666666666667043E-4,0.0031333333333333213,205471,83526
500,7.000000000000339E-4,7.666666666666933E-4,282619,163130
750,4.999999999999449E-4,4.333333333332856E-4,354992,241797
1000,3.9999999999995595E-4,1.9999999999997797E-4,380223,308372
10,0.016766666666666707,0.0601666666666667,91327,3228
50,0.00216666666666665,0.011900000000000022,119604,13287
125,0.0011999999999999789,0.004966666666666675,155574,39934
250,6.666666666667043E-4,0.0036000000000000476,208773,79115
500,6.000000000000449E-4,4.6666666666661527E-4,293372,128714
750,4.999999999999449E-4,5.333333333333856E-4,371537,199613
1000,3.9999999999995595E-4,1.9999999999997797E-4,428342,329879
10,0.008600000000000052,0.05789999999999995,103669,3923
50,0.0020333333333333314,0.013466666666666627,122276,14753
125,4.6666666666661527E-4,0.004666666666666708,165262,54541
250,3.9999999999995595E-4,0.0020999999999999908,208375,67954
500,2.3333333333330764E-4,0.0011333333333333195,281465,142456
750,3.333333333332966E-4,4.333333333332856E-4,344896,216474
1000,2.3333333333330764E-4,4.6666666666661527E-4,373903,317697
10,0.01853333333333329,0.08553333333333335,95051,3844
50,0.0015333333333333865,0.011666666666666714,118391,14233
125,7.000000000000339E-4,0.002066666666666661,161639,44587
250,5.333333333333856E-4,0.0027333333333333654,211395,63733
500,4.333333333332856E-4,0.0012666666666666382,284603,144496
750,4.333333333332856E-4,3.333333333332966E-4,371593,221564
1000,3.333333333332966E-4,1.9999999999997797E-4,358060,285386
