# W: 60, PAA: 7, A: 7, S: noreduction
10.0,0.008433333333333293,0.07186666666666663,36521,142,2245
50.0,0.0026000000000000467,0.025900000000000034,47544,235,12645
125.0,5.666666666667153E-4,0.011766666666666703,57762,450,33180
250.0,6.666666666667043E-4,0.0012666666666666382,69494,877,82207
500.0,3.9999999999995595E-4,2.9999999999996696E-4,92840,1708,153049
750.0,2.9999999999996696E-4,4.6666666666661527E-4,109015,2496,207173
1000.0,5.333333333333856E-4,3.9999999999995595E-4,123197,3305,286939
10.0,0.004766666666666697,0.10986666666666667,38765,37,2409
50.0,0.0017000000000000348,0.03290000000000004,48734,176,15904
125.0,9.666666666666712E-4,0.006199999999999983,60729,434,40514
250.0,3.9999999999995595E-4,0.0018333333333333535,73140,870,66245
500.0,4.333333333332856E-4,9.333333333333416E-4,92773,1664,146760
750.0,3.9999999999995595E-4,6.333333333333746E-4,115920,2474,270450
1000.0,3.666666666666263E-4,4.333333333332856E-4,132678,3488,288987
10.0,0.00653333333333328,0.042266666666666675,37395,51,2785
50.0,0.0015333333333333865,0.03066666666666662,51999,186,15837
125.0,9.333333333333416E-4,0.005700000000000038,60328,447,40857
250.0,4.6666666666661527E-4,0.0022999999999999687,74545,872,77672
500.0,6.000000000000449E-4,4.6666666666661527E-4,93148,1778,158384
750.0,3.9999999999995595E-4,2.9999999999996696E-4,105079,2440,218043
1000.0,1.9999999999997797E-4,2.3333333333330764E-4,126238,3402,319651
10.0,0.005166666666666653,0.0708333333333333,38887,32,2779
50.0,0.0010999999999999899,0.023700000000000054,49668,176,15911
125.0,9.333333333333416E-4,0.005766666666666698,60249,440,33584
250.0,4.6666666666661527E-4,0.0011666666666666492,75783,857,69241
500.0,3.9999999999995595E-4,9.333333333333416E-4,93237,1715,148435
750.0,3.9999999999995595E-4,6.333333333333746E-4,107557,2475,224122
1000.0,1.9999999999997797E-4,3.9999999999995595E-4,110543,3316,269589
10.0,0.005733333333333368,0.08123333333333338,38441,33,2974
50.0,0.0014999999999999458,0.020566666666666622,49264,183,14501
125.0,8.000000000000229E-4,0.011133333333333328,57115,443,33564
250.0,6.666666666667043E-4,0.0015666666666667162,68875,826,59855
500.0,4.6666666666661527E-4,0.0010333333333333306,80709,1663,135222
750.0,4.999999999999449E-4,7.333333333333636E-4,105064,2441,207687
1000.0,3.333333333332966E-4,1.9999999999997797E-4,133237,3358,288104
10.0,0.01759999999999995,0.10329999999999995,37692,32,2396
50.0,0.0022999999999999687,0.016800000000000037,50227,160,14670
125.0,9.000000000000119E-4,0.005866666666666687,66743,454,36324
250.0,8.333333333333526E-4,0.00326666666666664,72911,845,72654
500.0,2.666666666666373E-4,3.333333333332966E-4,88905,1719,147597
750.0,3.333333333332966E-4,2.9999999999996696E-4,111958,2643,194788
1000.0,5.666666666667153E-4,3.333333333332966E-4,124257,3280,255897
10.0,0.004833333333333356,0.11386666666666667,37729,33,2571
50.0,0.0016000000000000458,0.03256666666666663,48187,188,13853
125.0,7.000000000000339E-4,0.005199999999999982,55960,443,31108
250.0,4.333333333332856E-4,0.0024333333333332874,67344,821,62281
500.0,5.333333333333856E-4,7.333333333333636E-4,87617,1661,140292
750.0,2.9999999999996696E-4,3.333333333332966E-4,111965,2478,211503
1000.0,2.9999999999996696E-4,2.666666666666373E-4,118238,3520,300823
10.0,0.00883333333333336,0.04146666666666665,38496,33,2907
50.0,9.333333333333416E-4,0.009033333333333338,48810,192,14632
125.0,0.0010000000000000009,0.004433333333333289,57121,500,31871
250.0,8.000000000000229E-4,8.333333333333526E-4,77033,857,78947
500.0,6.333333333333746E-4,0.0011333333333333195,88375,1729,146124
750.0,4.333333333332856E-4,2.9999999999996696E-4,106948,2499,186422
1000.0,2.666666666666373E-4,9.999999999998899E-5,124563,3314,272620
10.0,0.010733333333333372,0.10980000000000001,36228,32,1948
50.0,0.0010333333333333306,0.015966666666666685,47398,174,13575
125.0,7.000000000000339E-4,0.0034999999999999476,57483,431,31743
250.0,7.666666666666933E-4,0.003966666666666674,71158,827,61844
500.0,2.666666666666373E-4,9.666666666666712E-4,88069,1637,150264
750.0,2.666666666666373E-4,2.3333333333330764E-4,102817,2511,213273
1000.0,4.333333333332856E-4,1.666666666666483E-4,115044,3363,311591
10.0,0.005233333333333312,0.06553333333333333,37219,32,2564
50.0,0.0011333333333333195,0.01770000000000005,49111,201,13211
125.0,0.0010000000000000009,0.0039000000000000146,58998,438,31846
250.0,3.666666666666263E-4,0.0024333333333332874,74554,844,59895
500.0,5.333333333333856E-4,0.0018000000000000238,84834,1716,122669
750.0,2.666666666666373E-4,4.999999999999449E-4,103881,2513,201103
1000.0,3.9999999999995595E-4,4.6666666666661527E-4,121904,3306,298940
