# W: 60, PAA: 7, A: 7, S: noreduction, Damage percentage: 40, Noise stdDev: 20
10.0,0.47019999999999995,0.4906666666666667,77999,181,1775
50.0,0.4814666666666667,0.40823333333333334,95862,481,5920
125.0,0.5083666666666666,0.39646666666666663,87748,912,13342
250.0,0.5104666666666666,0.38893333333333335,104084,1794,27583
500.0,0.5213,0.3772333333333333,116248,3576,52609
750.0,0.5288333333333333,0.37126666666666663,132310,5105,84389
1000.0,0.5285,0.37426666666666664,189977,7075,111341
10.0,0.4863666666666666,0.4428333333333333,72780,78,1450
50.0,0.5082666666666666,0.4229333333333334,81247,369,6054
125.0,0.5172333333333333,0.3939666666666667,88533,897,13957
250.0,0.5170333333333333,0.3864333333333333,99420,1766,28724
500.0,0.5206,0.3785666666666667,114448,3532,56711
750.0,0.5231666666666667,0.37303333333333333,160427,5213,144130
1000.0,0.5251333333333333,0.37250000000000005,262918,14470,170711
10.0,0.4567333333333333,0.4397333333333333,84764,95,1947
50.0,0.4964333333333333,0.4106333333333333,98160,403,6794
125.0,0.5108666666666667,0.3895666666666666,90997,915,13868
250.0,0.5254,0.39280000000000004,98776,1703,26981
500.0,0.5215666666666667,0.37973333333333337,114234,3526,54624
750.0,0.5333,0.3768,126609,5175,84947
1000.0,0.5296333333333334,0.36926666666666663,146356,7003,107890
10.0,0.5147333333333333,0.4527,72447,69,1391
50.0,0.5051666666666667,0.4147333333333333,81097,367,6283
125.0,0.5161333333333333,0.3913333333333333,87943,898,14255
250.0,0.5176666666666667,0.3802333333333333,100526,1770,28479
500.0,0.5175000000000001,0.3736333333333334,113992,3565,54011
750.0,0.5236666666666667,0.3706666666666667,124736,5289,84616
1000.0,0.5322,0.36926666666666663,141320,6949,181055
10.0,0.46609999999999996,0.4328666666666666,118478,201,4283
50.0,0.4988,0.41490000000000005,92766,506,8948
125.0,0.5126,0.4038333333333334,103223,1090,24290
250.0,0.5116,0.38916666666666666,125958,2250,40837
500.0,0.5245333333333333,0.3816666666666667,148858,4067,56005
750.0,0.5266666666666666,0.37360000000000004,128529,5181,83557
1000.0,0.5400333333333334,0.37439999999999996,136316,6972,106554
10.0,0.44723333333333337,0.4543666666666667,72399,72,1189
50.0,0.4992333333333333,0.4160666666666667,81738,338,5645
125.0,0.5056666666666667,0.3916666666666667,94739,905,14732
250.0,0.5209666666666667,0.38660000000000005,100697,1788,29623
500.0,0.5265333333333333,0.3733333333333333,120411,3545,57506
750.0,0.5194,0.37439999999999996,131874,5282,86826
1000.0,0.5255666666666667,0.3728,137607,7115,110002
10.0,0.4669333333333333,0.4577333333333333,71419,78,1161
50.0,0.5014000000000001,0.4110666666666667,79687,356,5801
125.0,0.5105,0.39393333333333336,89601,879,14123
250.0,0.5174666666666667,0.3857666666666667,107574,1763,31743
500.0,0.5253,0.384,126441,3661,57040
750.0,0.5297333333333334,0.3779,128870,5020,82045
1000.0,0.5260666666666667,0.37516666666666665,133566,6859,106296
10.0,0.4861333333333333,0.4708,72082,80,1211
50.0,0.4912333333333333,0.4047333333333333,81456,352,5621
125.0,0.5001666666666666,0.3851,88297,877,15147
250.0,0.5263666666666666,0.38759999999999994,103694,1746,28807
500.0,0.5152333333333333,0.3789666666666667,114882,3509,56545
750.0,0.5319,0.3798666666666667,129880,5230,78876
1000.0,0.5295666666666667,0.3704333333333333,130589,6887,109257
10.0,0.5115333333333334,0.4417,72865,75,1341
50.0,0.498,0.3995666666666666,79282,373,5806
125.0,0.5136666666666667,0.4017666666666667,87370,874,14098
250.0,0.5167666666666666,0.3809,99591,1753,27657
500.0,0.5272333333333333,0.3804666666666666,109953,3528,52747
750.0,0.5208666666666666,0.3789,123392,5194,78671
1000.0,0.5317000000000001,0.37296666666666667,129751,6888,106928
10.0,0.5065333333333333,0.45266666666666666,71519,103,1102
50.0,0.5000666666666667,0.4264,79869,357,5607
125.0,0.5150333333333333,0.38983333333333337,88254,883,14289
250.0,0.5212666666666667,0.39283333333333337,98330,1771,25964
500.0,0.5275000000000001,0.37293333333333334,109330,3528,51173
750.0,0.5311333333333333,0.37416666666666665,122768,5094,82428
1000.0,0.5308666666666666,0.3724666666666666,132059,6870,105144
