# W: 60, PAA: 7, A: 7, S: exact
10.0,0.15480000000000005,0.30856666666666666,74006,201,1240
50.0,0.16346666666666665,0.2406666666666667,83307,406,5626
125.0,0.1622,0.2178,92091,925,13336
250.0,0.1634,0.21776666666666666,103140,1807,26015
500.0,0.1576333333333333,0.20613333333333328,117406,3407,50522
750.0,0.16349999999999998,0.2031333333333334,126060,5462,73234
1000.0,0.16883333333333328,0.20256666666666667,135322,7189,100487
10.0,0.17736666666666667,0.30189999999999995,73310,78,1241
50.0,0.16513333333333335,0.24703333333333333,81858,362,5649
125.0,0.15966666666666662,0.22276666666666667,89823,898,12991
250.0,0.1637333333333333,0.2163666666666667,103124,1799,25481
500.0,0.16259999999999997,0.2087,116430,3489,50958
750.0,0.16410000000000002,0.20506666666666662,150358,5471,94703
1000.0,0.15733333333333333,0.20573333333333332,167707,7451,136118
10.0,0.18113333333333337,0.2834,79800,85,1333
50.0,0.16216666666666668,0.2369,94752,422,6002
125.0,0.16323333333333334,0.21986666666666665,104080,956,13777
250.0,0.16126666666666667,0.20506666666666662,115777,1766,28593
500.0,0.16143333333333332,0.2077,135180,3916,58195
750.0,0.16226666666666667,0.20450000000000002,155138,5863,94227
1000.0,0.16036666666666666,0.19873333333333332,168042,7574,128213
10.0,0.16026666666666667,0.27083333333333337,78745,97,1687
50.0,0.16110000000000002,0.22650000000000003,89237,428,6624
125.0,0.16613333333333336,0.21833333333333338,96098,880,15159
250.0,0.15823333333333334,0.21406666666666663,115575,1980,30360
500.0,0.15580000000000005,0.20443333333333336,135027,3935,56489
750.0,0.15926666666666667,0.20009999999999994,147815,5567,83524
1000.0,0.1612,0.20146666666666668,165750,7688,119978
10.0,0.19076666666666664,0.30613333333333337,80669,87,1202
50.0,0.16093333333333337,0.23293333333333333,93126,376,6127
125.0,0.1569666666666667,0.21619999999999995,102145,955,13751
250.0,0.1615333333333333,0.2183666666666667,117703,1882,33611
500.0,0.15836666666666666,0.20806666666666662,133163,3747,57884
750.0,0.16669999999999996,0.20443333333333336,152074,5399,91381
1000.0,0.1658333333333334,0.2047,165283,7218,116897
10.0,0.1597666666666666,0.2666333333333334,76596,88,1338
50.0,0.1568666666666667,0.2349,84616,388,5959
125.0,0.16713333333333336,0.22540000000000004,95961,948,15237
250.0,0.16116666666666668,0.2140333333333333,109029,1867,25920
500.0,0.16516666666666668,0.20799999999999996,127464,3641,53782
750.0,0.1607666666666666,0.2016,139303,5228,80292
1000.0,0.16173333333333328,0.20209999999999995,152583,6919,103384
10.0,0.17103333333333337,0.29300000000000004,74621,76,1356
50.0,0.1719666666666667,0.24209999999999998,84046,371,5601
125.0,0.1680666666666667,0.2247,93662,849,12988
250.0,0.1614,0.21063333333333334,106957,1829,26430
500.0,0.16343333333333332,0.20609999999999995,116819,3453,51853
750.0,0.1638333333333334,0.2060333333333333,142387,5401,78900
1000.0,0.16183333333333338,0.20289999999999997,147272,6938,100022
10.0,0.17559999999999998,0.2829666666666667,74084,87,1313
50.0,0.16813333333333336,0.2261333333333333,84943,372,6245
125.0,0.15856666666666663,0.21689999999999998,92848,882,14001
250.0,0.16026666666666667,0.21350000000000002,108019,1858,26223
500.0,0.15959999999999996,0.21040000000000003,119822,3357,49611
750.0,0.1599666666666667,0.20489999999999997,138938,5235,76805
1000.0,0.15846666666666664,0.19799999999999995,142006,6982,101870
10.0,0.16116666666666668,0.2917666666666666,74175,87,1285
50.0,0.1544333333333333,0.2263333333333334,82779,372,6345
125.0,0.15810000000000002,0.23096666666666665,93175,903,13376
250.0,0.17033333333333334,0.21463333333333334,102260,1856,29708
500.0,0.15826666666666667,0.20716666666666672,122945,3502,52550
750.0,0.1573,0.20750000000000002,134703,5376,81614
1000.0,0.1660666666666667,0.2017,137701,6776,98716
10.0,0.17320000000000002,0.30956666666666666,71855,75,1143
50.0,0.16676666666666662,0.24713333333333332,80892,378,6019
125.0,0.16649999999999998,0.22553333333333336,86550,933,10871
250.0,0.1684,0.2152333333333334,98010,1666,24632
500.0,0.15903333333333336,0.20679999999999998,111435,3276,49146
750.0,0.16833333333333333,0.20620000000000005,129658,5110,76727
1000.0,0.1664,0.2052666666666667,131275,6992,101113
