# W: 60, PAA: 7, A: 7, S: noreduction, Damage percentage: 30, Noise stdDev: 30
10.0,0.3660333333333333,0.398,71081,172,1583
50.0,0.3815333333333333,0.34519999999999995,84564,420,5133
125.0,0.39559999999999995,0.3227333333333333,91059,886,15121
250.0,0.4056333333333333,0.31210000000000004,103582,1836,34349
500.0,0.4106333333333333,0.3107,144423,3881,56901
750.0,0.4045333333333333,0.30133333333333334,160540,5230,91921
1000.0,0.4227666666666666,0.3035,161536,7338,128670
10.0,0.3577,0.36373333333333335,71057,67,1532
50.0,0.38749999999999996,0.34853333333333336,106756,378,7054
125.0,0.39393333333333336,0.3267,114345,1135,29192
250.0,0.3943,0.31753333333333333,135079,3628,33918
500.0,0.4027666666666667,0.3069666666666667,120057,3713,68024
750.0,0.4101666666666667,0.3065333333333333,140453,5512,91784
1000.0,0.4248666666666666,0.3050666666666667,138216,7054,116206
10.0,0.35609999999999997,0.3701,73050,77,1548
50.0,0.3945666666666666,0.3621333333333333,81661,378,6004
125.0,0.391,0.3272666666666667,91598,886,15248
250.0,0.39080000000000004,0.3096333333333333,103170,1734,33454
500.0,0.40359999999999996,0.3078666666666666,120790,3562,61290
750.0,0.4065333333333333,0.3022,129047,5265,95349
1000.0,0.4110666666666667,0.30313333333333337,136510,6916,126771
10.0,0.34886666666666666,0.4039666666666667,70974,88,1158
50.0,0.3528,0.3340333333333333,81453,360,6043
125.0,0.3998333333333334,0.3368333333333333,91094,938,16935
250.0,0.4259333333333334,0.3170333333333333,101969,1844,32109
500.0,0.4079666666666667,0.30413333333333337,113510,3623,63883
750.0,0.4211666666666667,0.3012,133671,5252,89674
1000.0,0.41779999999999995,0.30223333333333335,136526,7127,114180
10.0,0.36816666666666664,0.4078666666666667,74924,73,1598
50.0,0.3949666666666667,0.34743333333333337,82243,378,5074
125.0,0.3884333333333333,0.3325666666666667,89937,850,15437
250.0,0.3955666666666666,0.3168333333333333,103665,1826,27042
500.0,0.40900000000000003,0.3109666666666666,108949,3494,60110
750.0,0.4145,0.3035333333333333,135320,5354,91267
1000.0,0.4003333333333333,0.3023,136697,6988,114491
10.0,0.3602333333333333,0.38803333333333334,71771,75,1322
50.0,0.37606666666666666,0.3378333333333333,80394,364,6999
125.0,0.39393333333333336,0.3225,91161,913,14780
250.0,0.4019666666666667,0.30813333333333337,101936,1683,27799
500.0,0.406,0.30900000000000005,113648,3481,57518
750.0,0.4181666666666667,0.30943333333333334,132465,4918,87148
1000.0,0.4257666666666666,0.30213333333333336,136328,6931,118105
10.0,0.34073333333333333,0.38203333333333334,73565,74,1347
50.0,0.3876333333333334,0.3451333333333333,81470,365,6145
125.0,0.39859999999999995,0.3255,89735,893,16584
250.0,0.4035333333333333,0.31189999999999996,101546,1825,32653
500.0,0.4189666666666667,0.30923333333333336,118554,3652,62284
750.0,0.4213,0.3053,125579,5341,93504
1000.0,0.4141666666666667,0.3072666666666667,138554,6868,122395
10.0,0.3390333333333333,0.4088333333333334,74349,81,1214
50.0,0.36219999999999997,0.3472666666666666,82966,376,6523
125.0,0.3846333333333334,0.31930000000000003,89755,893,16077
250.0,0.4081666666666667,0.31379999999999997,102271,1813,27526
500.0,0.41556666666666664,0.3079666666666667,115263,3547,58948
750.0,0.4058666666666667,0.3055,126392,5017,83133
1000.0,0.4152666666666667,0.30456666666666665,127858,6837,115017
10.0,0.3351666666666666,0.3644666666666667,70555,80,1497
50.0,0.3784666666666666,0.33799999999999997,82915,382,6788
125.0,0.4031,0.3229333333333333,89168,921,16494
250.0,0.3963,0.31020000000000003,100701,1784,23011
500.0,0.39849999999999997,0.3045,111574,3257,54155
750.0,0.4107333333333333,0.3056,119513,4838,88048
1000.0,0.4105,0.29956666666666665,132590,7053,119250
10.0,0.33740000000000003,0.374,71751,78,1497
50.0,0.3721,0.34406666666666663,83040,375,6836
125.0,0.37883333333333336,0.32586666666666664,88971,919,16303
250.0,0.3987333333333334,0.3160666666666667,99675,1818,27364
500.0,0.4161666666666667,0.3103,110650,3363,54050
750.0,0.4126666666666666,0.30410000000000004,129060,5287,84067
1000.0,0.4210666666666667,0.30743333333333334,133245,7175,120094
