# W: 60, PAA: 7, A: 7, S: exact
10,0.005199999999999982,0.05169999999999997,74831,192,2530
50,0.0017000000000000348,0.013700000000000045,85180,392,8643
125,0.0013999999999999568,0.005166666666666653,86220,859,27759
250,8.000000000000229E-4,0.0011333333333333195,104537,1772,51484
500,0.0011999999999999789,6.000000000000449E-4,324776,3427,218228
750,0.0011999999999999789,6.333333333333746E-4,244654,11733,296740
1000,9.333333333333416E-4,3.333333333332966E-4,133435,6825,245265
10,0.00649999999999995,0.05393333333333339,78784,105,2367
50,0.002566666666666717,0.01733333333333331,83114,367,12030
125,8.333333333333526E-4,0.004133333333333322,93389,931,28683
250,6.666666666667043E-4,0.0014333333333332865,110320,1794,54526
500,6.666666666667043E-4,2.666666666666373E-4,118118,3638,112492
750,5.333333333333856E-4,2.3333333333330764E-4,142080,5267,211702
1000,8.000000000000229E-4,2.666666666666373E-4,156401,7292,296727
10,0.01100000000000001,0.08213333333333328,76939,86,1423
50,0.002666666666666706,0.030266666666666664,93488,339,11214
125,0.0020999999999999908,0.00649999999999995,97298,878,36415
250,0.0011666666666666492,0.0017333333333333645,109724,1734,57155
500,6.666666666667043E-4,9.666666666666712E-4,139469,3506,164668
750,7.666666666666933E-4,5.333333333333856E-4,173929,6147,237221
1000,5.666666666667153E-4,1.9999999999997797E-4,203734,12184,354087
10,0.00986666666666669,0.06343333333333334,126857,79,2558
50,0.0014666666666666162,0.013733333333333375,87605,360,11295
125,0.0014999999999999458,0.0015666666666667162,96349,982,44977
250,0.0022333333333333094,0.00883333333333336,140908,3086,74464
500,9.333333333333416E-4,5.333333333333856E-4,127097,3540,127284
750,0.0010000000000000009,2.3333333333330764E-4,157436,5539,249170
1000,7.333333333333636E-4,2.9999999999996696E-4,153067,7439,254441
10,0.03823333333333334,0.14166666666666672,72602,69,2039
50,0.004033333333333333,0.034499999999999975,81254,356,10282
125,0.003566666666666718,0.021466666666666634,87703,834,22661
250,7.000000000000339E-4,0.0024333333333332874,100307,1652,49711
500,8.666666666666822E-4,0.0013999999999999568,111089,3573,100835
750,5.333333333333856E-4,2.3333333333330764E-4,127072,5141,156226
1000,7.666666666666933E-4,2.3333333333330764E-4,132853,6701,191113
10,0.0048000000000000265,0.035633333333333295,70255,77,1848
50,0.0015333333333333865,0.02400000000000002,84030,343,9616
125,0.0010999999999999899,0.005099999999999993,87519,886,19760
250,9.666666666666712E-4,0.0016666666666667052,95799,1723,47377
500,0.0010000000000000009,3.9999999999995595E-4,111491,3490,96960
750,6.333333333333746E-4,6.000000000000449E-4,115781,4910,150751
1000,6.666666666667043E-4,7.000000000000339E-4,129538,6576,190990
10,0.015966666666666685,0.09899999999999998,71599,78,1758
50,0.002666666666666706,0.013533333333333286,79669,331,9457
125,0.0020000000000000018,0.006199999999999983,83970,876,24918
250,0.0011999999999999789,0.003966666666666674,95832,1774,44066
500,0.0013333333333332975,7.333333333333636E-4,112344,3436,97737
750,9.000000000000119E-4,6.666666666667043E-4,120777,5078,152828
1000,7.333333333333636E-4,7.000000000000339E-4,154005,6516,206962
10,0.0262,0.1791666666666667,72857,74,1915
50,0.0014999999999999458,0.021499999999999964,79577,346,9150
125,0.0012333333333333085,0.003966666666666674,87782,842,23057
250,0.0010333333333333306,0.0010999999999999899,97053,1748,45729
500,0.0010666666666666602,7.000000000000339E-4,109295,3328,99718
750,9.000000000000119E-4,4.333333333332856E-4,119703,5074,147993
1000,0.0010333333333333306,3.9999999999995595E-4,131128,7103,187481
10,0.010399999999999965,0.07320000000000004,68171,70,1454
50,0.0011999999999999789,0.019333333333333313,79349,328,9422
125,0.0011333333333333195,0.0030000000000000027,87774,867,22113
250,4.999999999999449E-4,0.002366666666666628,98000,1749,46997
500,8.333333333333526E-4,6.666666666667043E-4,107964,3499,80599
750,8.666666666666822E-4,3.333333333332966E-4,121750,4919,145000
1000,7.666666666666933E-4,3.666666666666263E-4,139855,6475,198340
10,0.0073666666666666325,0.062133333333333374,71130,82,1975
50,0.0013666666666666272,0.02300000000000002,79817,349,8839
125,6.000000000000449E-4,0.005633333333333379,86632,840,22275
250,0.0011666666666666492,0.0018333333333333535,98622,1818,49016
500,8.000000000000229E-4,8.000000000000229E-4,109390,3574,83012
750,8.333333333333526E-4,6.333333333333746E-4,121738,4906,139693
1000,7.333333333333636E-4,2.3333333333330764E-4,131062,7002,150795
