NOREDUCTION,15,4,2,0.0,1.0
NOREDUCTION,15,4,4,0.6666666666666667,0.3333333333333333
NOREDUCTION,15,4,6,0.8666666666666667,0.13333333333333333
NOREDUCTION,15,6,2,0.30000000000000004,0.7
NOREDUCTION,15,4,8,0.9333333333333333,0.06666666666666667
NOREDUCTION,15,4,10,0.8333333333333334,0.16666666666666666
NOREDUCTION,15,8,2,0.43333333333333335,0.5666666666666667
NOREDUCTION,15,4,12,0.8333333333333334,0.16666666666666666
NOREDUCTION,15,6,4,0.7666666666666666,0.23333333333333334
NOREDUCTION,15,6,6,0.7333333333333334,0.26666666666666666
NOREDUCTION,15,6,8,0.6333333333333333,0.36666666666666664
NOREDUCTION,15,6,10,0.6,0.4
NOREDUCTION,15,6,12,0.7333333333333334,0.26666666666666666
NOREDUCTION,15,8,4,0.9,0.1
NOREDUCTION,15,10,2,0.7333333333333334,0.26666666666666666
NOREDUCTION,15,8,8,0.6333333333333333,0.36666666666666664
NOREDUCTION,15,8,6,0.6333333333333333,0.36666666666666664
NOREDUCTION,15,8,10,0.43333333333333335,0.5666666666666667
NOREDUCTION,15,8,12,0.4,0.6
NOREDUCTION,15,10,4,0.6,0.4
NOREDUCTION,15,10,6,0.4666666666666667,0.5333333333333333
NOREDUCTION,15,10,8,0.43333333333333335,0.5666666666666667
NOREDUCTION,20,4,2,0.0,1.0
NOREDUCTION,15,10,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,15,10,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,15,12,2,0.8,0.2
NOREDUCTION,20,4,4,0.6666666666666667,0.3333333333333333
NOREDUCTION,20,4,6,0.9333333333333333,0.06666666666666667
NOREDUCTION,20,4,8,1.0,0.0
NOREDUCTION,20,4,10,0.9,0.1
NOREDUCTION,20,4,12,0.9666666666666667,0.03333333333333333
NOREDUCTION,15,12,6,0.5666666666666667,0.43333333333333335
NOREDUCTION,15,12,4,0.4,0.6
NOREDUCTION,15,12,8,0.2666666666666667,0.7333333333333333
NOREDUCTION,15,14,2,0.9333333333333333,0.06666666666666667
NOREDUCTION,20,6,2,0.16666666666666663,0.8333333333333334
NOREDUCTION,15,12,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,15,12,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,6,4,0.9333333333333333,0.06666666666666667
NOREDUCTION,15,14,6,0.30000000000000004,0.7
NOREDUCTION,15,14,4,0.4666666666666667,0.5333333333333333
NOREDUCTION,15,14,8,0.2666666666666667,0.7333333333333333
NOREDUCTION,15,14,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,6,6,0.9333333333333333,0.06666666666666667
NOREDUCTION,20,10,2,0.9,0.1
NOREDUCTION,20,8,2,0.6666666666666667,0.3333333333333333
NOREDUCTION,20,6,8,0.9333333333333333,0.06666666666666667
NOREDUCTION,15,14,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,6,10,0.8,0.2
NOREDUCTION,20,6,12,0.6,0.4
NOREDUCTION,20,10,8,0.23333333333333328,0.7666666666666667
NOREDUCTION,20,10,4,0.6333333333333333,0.36666666666666664
NOREDUCTION,20,10,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,10,6,0.43333333333333335,0.5666666666666667
NOREDUCTION,20,8,6,0.7333333333333334,0.26666666666666666
NOREDUCTION,20,8,4,0.8666666666666667,0.13333333333333333
NOREDUCTION,20,10,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,8,8,0.4,0.6
NOREDUCTION,20,8,10,0.43333333333333335,0.5666666666666667
NOREDUCTION,20,8,12,0.5,0.5
NOREDUCTION,20,12,2,0.8,0.2
NOREDUCTION,20,12,4,0.4666666666666667,0.5333333333333333
NOREDUCTION,20,12,6,0.4,0.6
NOREDUCTION,20,12,8,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,12,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,14,2,0.9,0.1
NOREDUCTION,20,12,10,0.33333333333333337,0.6666666666666666
NOREDUCTION,20,14,6,0.30000000000000004,0.7
NOREDUCTION,25,4,2,0.0,1.0
NOREDUCTION,20,14,8,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,14,4,0.3666666666666667,0.6333333333333333
NOREDUCTION,20,14,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,20,14,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,25,4,4,0.6666666666666667,0.3333333333333333
NOREDUCTION,25,4,6,0.9,0.1
NOREDUCTION,25,4,8,1.0,0.0
NOREDUCTION,20,16,2,0.9333333333333333,0.06666666666666667
NOREDUCTION,25,4,10,0.9666666666666667,0.03333333333333333
NOREDUCTION,20,16,4,0.5,0.5
NOREDUCTION,20,16,6,0.23333333333333328,0.7666666666666667
NOREDUCTION,25,4,12,0.9666666666666667,0.03333333333333333
NOREDUCTION,20,16,8,0.2666666666666667,0.7333333333333333
NOREDUCTION,25,6,2,0.30000000000000004,0.7
NOREDUCTION,25,6,4,0.9666666666666667,0.03333333333333333
NOREDUCTION,25,6,6,0.9666666666666667,0.03333333333333333
NOREDUCTION,20,16,10,0.2666666666666667,0.7333333333333333
NOREDUCTION,25,8,2,0.8333333333333334,0.16666666666666666
NOREDUCTION,25,6,8,0.9,0.1
NOREDUCTION,25,6,10,0.9333333333333333,0.06666666666666667
NOREDUCTION,20,16,12,0.2666666666666667,0.7333333333333333
NOREDUCTION,25,6,12,0.9333333333333333,0.06666666666666667
NOREDUCTION,25,8,4,1.0,0.0
NOREDUCTION,25,10,2,0.8,0.2
