train_size,1nn_ed,,1nn_dtw,,Sax-vsm,
50,0.286175,8102,1.33E-03,3737837,0.0762,38829
100,0.16575,13983,2.50E-05,7380768,0.0173,44167
200,0.06735,26301,0.001475,13322768,0.00425,47866
400,2.30E-02,51180,0.001,34238468,6.00E-04,57006
800,4.43E-03,100353,5.00E-005,103648570,1.75E-04,60766
1600,4.75E-04,202599,,,1.50E-04,67002
3200,1.25E-04,409087,,,2.50E-05,77950
6400,0.0001,849972,,,0,92946
