train_size,sax-vsm,1NN_euclidean
100,0.00462499999999999,0.16575
1600,1.4999999999998348E-4,0.000475
200,0.0027249999999999774,0.06735
3200,1.7500000000003624E-4,0.000125
400,3.750000000000142E-4,0.02295
50,0.04062500000000002,0.286175
6400,1.2500000000004174E-4,0.0001
800,2.9999999999996696E-4,0.004425
