# W: 60, PAA: 7, A: 7, S: exact
10,0.0072666666666666435,0.09593333333333331,97884,274,4504
50,0.0013333333333332975,0.023833333333333373,114641,473,27109
125,0.0011666666666666492,0.004266666666666641,125398,1205,68540
250,7.333333333333636E-4,0.0027333333333333654,138981,2094,130922
500,6.666666666667043E-4,7.333333333333636E-4,150061,4230,271853
750,4.333333333332856E-4,2.9999999999996696E-4,157801,6240,403620
1000,5.333333333333856E-4,3.666666666666263E-4,160912,8169,568857
10,0.01093333333333335,0.07996666666666663,83490,147,5462
50,0.0012333333333333085,0.01429999999999998,92063,448,29010
125,0.0010666666666666602,0.0037333333333333663,108314,1009,65965
250,5.333333333333856E-4,0.001966666666666672,147577,2651,137047
500,3.666666666666263E-4,3.9999999999995595E-4,151293,4975,281361
750,4.333333333332856E-4,3.333333333332966E-4,193870,5597,430330
1000,5.666666666667153E-4,4.333333333332856E-4,202452,10252,558736
10,0.006800000000000028,0.03086666666666671,100625,97,3983
50,8.333333333333526E-4,0.01426666666666665,117122,466,20940
125,8.666666666666822E-4,0.002966666666666673,103463,1280,70360
250,8.333333333333526E-4,0.002566666666666717,117756,1999,140625
500,6.000000000000449E-4,0.0019000000000000128,149769,3668,267033
750,4.6666666666661527E-4,2.9999999999996696E-4,170947,7016,415858
1000,3.9999999999995595E-4,4.333333333332856E-4,170768,9660,569345
10,0.008499999999999952,0.08809999999999996,81486,77,4958
50,0.0012999999999999678,0.02526666666666666,93253,400,29230
125,0.0010999999999999899,0.010000000000000009,132672,1016,62572
250,9.000000000000119E-4,0.0023999999999999577,142337,2518,142347
500,8.000000000000229E-4,9.000000000000119E-4,130634,3986,233969
750,6.000000000000449E-4,3.333333333332966E-4,153745,5654,392388
1000,7.000000000000339E-4,5.666666666667153E-4,181570,8817,394894
10,0.006900000000000017,0.1001333333333333,89841,97,4388
50,0.0010000000000000009,0.010433333333333294,110625,459,20519
125,7.333333333333636E-4,0.008033333333333337,117728,1289,54100
250,4.333333333332856E-4,0.0017333333333333645,110556,1792,117057
500,3.666666666666263E-4,9.000000000000119E-4,133725,3687,155558
750,2.666666666666373E-4,8.000000000000229E-4,150710,6094,342795
1000,3.333333333332966E-4,3.9999999999995595E-4,173170,8570,345407
10,0.0043999999999999595,0.0605,84255,103,3998
50,0.0026000000000000467,0.0275333333333333,95267,379,12091
125,0.0010000000000000009,0.015633333333333388,106251,927,28195
250,7.000000000000339E-4,8.333333333333526E-4,108248,1871,74556
500,4.999999999999449E-4,7.333333333333636E-4,119553,3964,141103
750,6.666666666667043E-4,4.999999999999449E-4,139592,5354,236778
1000,5.666666666667153E-4,3.666666666666263E-4,155592,7922,399411
10,0.00539999999999996,0.09073333333333333,88600,79,2508
50,0.0015333333333333865,0.015966666666666685,94820,380,12597
125,0.0011999999999999789,0.0046000000000000485,99399,1045,33943
250,0.0010666666666666602,0.0021999999999999797,121695,2157,79461
500,5.666666666667153E-4,0.0024333333333332874,121445,3535,132644
750,4.6666666666661527E-4,4.999999999999449E-4,137032,5335,223422
1000,5.666666666667153E-4,2.3333333333330764E-4,150617,7125,333402
10,0.011333333333333306,0.12173333333333336,81170,88,2501
50,8.666666666666822E-4,0.01526666666666665,88934,378,15343
125,6.666666666667043E-4,0.005266666666666642,97937,1012,45014
250,4.6666666666661527E-4,0.003066666666666662,107776,1849,96218
500,4.999999999999449E-4,0.0017000000000000348,136625,3594,164355
750,4.999999999999449E-4,9.333333333333416E-4,153518,4992,263250
1000,3.333333333332966E-4,3.9999999999995595E-4,150235,7036,361772
10,0.005066666666666664,0.037633333333333296,92452,81,4393
50,0.0017000000000000348,0.021133333333333337,88144,387,21825
125,7.333333333333636E-4,0.003366666666666629,97294,930,67596
250,4.6666666666661527E-4,0.0027333333333333654,111576,1986,95465
500,4.999999999999449E-4,0.0014333333333332865,158995,5016,281654
750,3.9999999999995595E-4,8.000000000000229E-4,159357,6306,405192
1000,3.9999999999995595E-4,3.333333333332966E-4,169592,7608,473667
10,0.014066666666666672,0.10203333333333331,83480,81,5046
50,0.0013333333333332975,0.016599999999999948,93540,444,26467
125,9.666666666666712E-4,0.002066666666666661,103270,985,63297
250,5.666666666667153E-4,0.0034333333333332883,119928,2012,96016
500,6.333333333333746E-4,9.666666666666712E-4,139587,4755,281843
750,5.333333333333856E-4,2.9999999999996696E-4,184980,5698,400851
1000,5.333333333333856E-4,1.666666666666483E-4,171151,8216,390223
