# W: 60, PAA: 7, A: 7, S: noreduction
10,0.006133333333333324,0.058599999999999985,98790,,273,4475
50,8.333333333333526E-4,0.012566666666666615,113269,,542,27181
125,7.666666666666933E-4,0.0020000000000000018,126168,,1084,68458
250,4.999999999999449E-4,0.0010999999999999899,138468,,1890,138217
500,3.333333333332966E-4,7.000000000000339E-4,145589,,3954,276507
750,3.333333333332966E-4,9.000000000000119E-4,158366,,5881,413160
1000,2.3333333333330764E-4,3.666666666666263E-4,157036,,7543,550771
10,0.006900000000000017,0.08156666666666668,83545,,91,5170
50,7.666666666666933E-4,0.03326666666666667,91338,,613,28900
125,3.333333333332966E-4,0.003466666666666618,105979,,1343,65956
250,3.333333333332966E-4,0.0018000000000000238,151461,,2246,139071
500,4.999999999999449E-4,0.0011666666666666492,155644,,4643,283285
750,2.666666666666373E-4,5.666666666667153E-4,189550,,7413,416355
1000,2.9999999999996696E-4,3.666666666666263E-4,200037,,7664,563004
10,0.005133333333333323,0.06386666666666663,96849,,130,4127
50,0.0020000000000000018,0.02849999999999997,118231,,527,20191
125,7.000000000000339E-4,0.0042999999999999705,98530,,1116,72390
250,7.333333333333636E-4,0.0013666666666666272,113539,,2101,147711
500,6.666666666667043E-4,7.000000000000339E-4,154017,,4012,266730
750,3.666666666666263E-4,4.6666666666661527E-4,178848,,5886,413335
1000,3.9999999999995595E-4,2.9999999999996696E-4,172274,,8340,570829
10,0.0121,0.06366666666666665,78220,,68,4906
50,0.0019333333333333425,0.04059999999999997,91015,,403,27859
125,6.666666666667043E-4,0.00436666666666663,129037,,1336,59547
250,5.666666666667153E-4,0.002566666666666717,140607,,1974,126521
500,6.333333333333746E-4,5.666666666667153E-4,133213,,4314,247314
750,6.000000000000449E-4,6.666666666667043E-4,144065,,5381,385372
1000,6.666666666667043E-4,1.3333333333331865E-4,179466,,7533,381896
10,0.004233333333333311,0.08009999999999995,77227,,130,5420
50,0.0014666666666666162,0.0339666666666667,114279,,385,18955
125,9.333333333333416E-4,0.008433333333333293,124984,,1318,47623
250,7.000000000000339E-4,0.0024333333333332874,114319,,2498,95694
500,3.9999999999995595E-4,3.333333333332966E-4,137252,,3779,165808
750,4.333333333332856E-4,8.333333333333526E-4,147050,,5219,333564
1000,3.9999999999995595E-4,1.9999999999997797E-4,166401,,7200,321928
10,0.006800000000000028,0.03749999999999998,74005,,78,3561
50,0.0019000000000000128,0.01749999999999996,94977,,353,15952
125,6.333333333333746E-4,0.004566666666666719,105398,,935,27797
250,9.666666666666712E-4,0.0027333333333333654,119141,,1946,82306
500,4.333333333332856E-4,8.666666666666822E-4,123022,,3489,111608
750,5.333333333333856E-4,6.666666666667043E-4,128068,,4902,257547
1000,3.666666666666263E-4,3.333333333332966E-4,150349,,6429,317498
10,0.00546666666666662,0.0742666666666667,75742,,85,3876
50,0.0010666666666666602,0.011066666666666669,85732,,394,20043
125,7.000000000000339E-4,0.009566666666666612,108062,,921,29755
250,5.333333333333856E-4,0.0019333333333333425,123680,,1956,61115
500,4.333333333332856E-4,9.000000000000119E-4,134097,,3343,139260
750,3.333333333332966E-4,3.666666666666263E-4,140234,,4959,205880
1000,2.3333333333330764E-4,6.000000000000449E-4,146641,,7179,265835
10,0.007233333333333314,0.07616666666666672,73651,,98,3930
50,0.0011666666666666492,0.01633333333333331,85526,,373,19046
125,0.0012333333333333085,0.007299999999999973,93100,,886,29948
250,6.000000000000449E-4,0.0019333333333333425,120983,,1961,63789
500,4.6666666666661527E-4,8.333333333333526E-4,119996,,3887,167592
750,4.999999999999449E-4,4.6666666666661527E-4,149697,,5354,221968
1000,3.9999999999995595E-4,1.666666666666483E-4,170704,,8490,337335
10,0.011966666666666681,0.08696666666666664,79871,,93,4516
50,0.0016000000000000458,0.016766666666666707,86999,,383,23894
125,9.333333333333416E-4,0.0033999999999999586,101289,,988,53976
250,5.333333333333856E-4,0.0016666666666667052,125825,,1803,80369
500,3.9999999999995595E-4,0.0013333333333332975,125241,,3572,200802
750,4.6666666666661527E-4,3.333333333332966E-4,178143,,5115,392608
1000,2.9999999999996696E-4,2.9999999999996696E-4,176940,,7411,508706
10,0.01533333333333331,0.15336666666666665,81257,,96,5327
50,7.333333333333636E-4,0.007900000000000018,91935,,470,27979
125,8.333333333333526E-4,0.005733333333333368,110225,,1127,69643
250,7.333333333333636E-4,0.003466666666666618,120268,,1904,106831
500,3.666666666666263E-4,6.666666666667043E-4,133930,,3673,213763
750,6.000000000000449E-4,5.666666666667153E-4,159333,,7372,401693
1000,4.999999999999449E-4,2.3333333333330764E-4,200356,,9529,531090
